ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,AMAZONAS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,440,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,725,400,REGION AMAZONAS-SALUD,1,11,ENCARGOS MEDICAMENTOS,4,NEA - DONACION,429,0,0,CAFAE - MINISTERIO DE SALUD,DONACION MINSA- PCS.N° 01766,15-SEP-20,9,SEPTIEMBRE,C,429,PCS.N° 01766,CON CONFORMIDAD,15-SEP-20,PCS N° 1766,17-SEP-20,DONACION MINISTERIO DE SALUD,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,129,BOTA DESCARTABLE,353,PAR,328,SIN MARCA,4500.0,2.5,11250.0
2020,AMAZONAS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,440,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,725,400,REGION AMAZONAS-SALUD,1,11,ENCARGOS MEDICAMENTOS,4,NEA - DONACION,429,0,0,CAFAE - MINISTERIO DE SALUD,DONACION MINSA- PCS.N° 01766,15-SEP-20,9,SEPTIEMBRE,C,429,PCS.N° 01766,CON CONFORMIDAD,15-SEP-20,PCS N° 1766,17-SEP-20,DONACION MINISTERIO DE SALUD,B,13,"ASEO, LIMPIEZA Y TOCADOR  :   REPUESTOS, ACCESORIOS, ÚTILES Y MATERIALES",92,TOCADOR Y COSMETOLOGÍA: MATERIALES,50,GEL ANTIBACTERIAL PARA MANOS,4,GEL ANTIBACTERIAL PARA MANOS X 120 mL APROX.,112,UNIDAD,328,SIN MARCA,1000.0,5.0,5000.0
2020,AMAZONAS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,440,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,725,400,REGION AMAZONAS-SALUD,1,11,ENCARGOS MEDICAMENTOS,4,NEA - DONACION,429,0,0,CAFAE - MINISTERIO DE SALUD,DONACION MINSA- PCS.N° 01766,15-SEP-20,9,SEPTIEMBRE,C,429,PCS.N° 01766,CON CONFORMIDAD,15-SEP-20,PCS N° 1766,17-SEP-20,DONACION MINISTERIO DE SALUD,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,472,GORRO DESCARTABLE DE ENFERMERA,112,UNIDAD,328,SIN MARCA,2000.0,0.35,700.0
2020,AMAZONAS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,440,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,725,400,REGION AMAZONAS-SALUD,1,11,ENCARGOS MEDICAMENTOS,4,NEA - DONACION,429,0,0,CAFAE - MINISTERIO DE SALUD,DONACION MINSA- PCS.N° 01766,15-SEP-20,9,SEPTIEMBRE,C,429,PCS.N° 01766,CON CONFORMIDAD,15-SEP-20,PCS N° 1766,17-SEP-20,DONACION MINISTERIO DE SALUD,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,28,GUANTES PARA EXAMEN DESCARTABLES (NO QUIRÚRGICOS),145,GUANTE PARA EXAMEN DESCARTABLE DE NITRILO SIN POLVO TALLA M,112,UNIDAD,328,SIN MARCA,1500.0,0.4,600.0
2020,AMAZONAS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,440,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,725,400,REGION AMAZONAS-SALUD,1,11,ENCARGOS MEDICAMENTOS,4,NEA - DONACION,429,0,0,CAFAE - MINISTERIO DE SALUD,DONACION MINSA- PCS.N° 01766,15-SEP-20,9,SEPTIEMBRE,C,429,PCS.N° 01766,CON CONFORMIDAD,15-SEP-20,PCS N° 1766,17-SEP-20,DONACION MINISTERIO DE SALUD,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,28,GUANTES PARA EXAMEN DESCARTABLES (NO QUIRÚRGICOS),11,GUANTE PARA EXAMEN DESCARTABLE TALLA M,112,UNIDAD,328,SIN MARCA,100.0,0.4307,43.07
2020,AMAZONAS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,440,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,725,400,REGION AMAZONAS-SALUD,1,11,ENCARGOS MEDICAMENTOS,4,NEA - DONACION,429,0,0,CAFAE - MINISTERIO DE SALUD,DONACION MINSA- PCS.N° 01766,15-SEP-20,9,SEPTIEMBRE,C,429,PCS.N° 01766,CON CONFORMIDAD,15-SEP-20,PCS N° 1766,17-SEP-20,DONACION MINISTERIO DE SALUD,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,29,GUANTES QUIRÚRGICOS DESCARTABLES,3,GUANTE QUIRURGICO ESTERIL DESCARTABLE Nº  7,353,PAR,1884,SIN MARCA.,1500.0,1.43,2145.0
2020,AMAZONAS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,440,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,725,400,REGION AMAZONAS-SALUD,1,11,ENCARGOS MEDICAMENTOS,4,NEA - DONACION,429,0,0,CAFAE - MINISTERIO DE SALUD,DONACION MINSA- PCS.N° 01766,15-SEP-20,9,SEPTIEMBRE,C,429,PCS.N° 01766,CON CONFORMIDAD,15-SEP-20,PCS N° 1766,17-SEP-20,DONACION MINISTERIO DE SALUD,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,29,GUANTES QUIRÚRGICOS DESCARTABLES,5,GUANTE QUIRURGICO ESTERIL DESCARTABLE Nº 8,353,PAR,328,SIN MARCA,400.0,1.43,572.0
2020,AMAZONAS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,440,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,725,400,REGION AMAZONAS-SALUD,1,11,ENCARGOS MEDICAMENTOS,4,NEA - DONACION,429,0,0,CAFAE - MINISTERIO DE SALUD,DONACION MINSA- PCS.N° 01766,15-SEP-20,9,SEPTIEMBRE,C,429,PCS.N° 01766,CON CONFORMIDAD,15-SEP-20,PCS N° 1766,17-SEP-20,DONACION MINISTERIO DE SALUD,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,1337,KIT DE ROPA DESCARTABLE PARA CIRUGIA X 6 PIEZAS,112,UNIDAD,328,SIN MARCA,50.0,39.9,1995.0
2020,AMAZONAS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,440,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,725,400,REGION AMAZONAS-SALUD,1,11,ENCARGOS MEDICAMENTOS,4,NEA - DONACION,429,0,0,CAFAE - MINISTERIO DE SALUD,DONACION MINSA- PCS.N° 01766,15-SEP-20,9,SEPTIEMBRE,C,429,PCS.N° 01766,CON CONFORMIDAD,15-SEP-20,PCS N° 1766,17-SEP-20,DONACION MINISTERIO DE SALUD,B,80,"SEGURIDAD: REPUESTOS, ACCESORIOS Y PROTECTORES",50,INDUMENTARIA Y PROTECTORES PARA PERSONAS,1,LENTES DE SEGURIDAD,15,LENTE DE PROTECCION DE POLICARBONATO,112,UNIDAD,328,SIN MARCA,480.0,13.1,6288.0
2020,AMAZONAS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,440,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,725,400,REGION AMAZONAS-SALUD,1,11,ENCARGOS MEDICAMENTOS,4,NEA - DONACION,429,0,0,CAFAE - MINISTERIO DE SALUD,DONACION MINSA- PCS.N° 01766,15-SEP-20,9,SEPTIEMBRE,C,429,PCS.N° 01766,CON CONFORMIDAD,15-SEP-20,PCS N° 1766,17-SEP-20,DONACION MINISTERIO DE SALUD,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,1261,MAMELUCO DESCARTABLE TALLA L,112,UNIDAD,328,SIN MARCA,200.0,23.0,4600.0
