ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,15,TRANSFERENCIAS    MINSA,4,NEA - DONACION,1,0,0,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD - CENARES,,14-OCT-20,10,OCTUBRE,C,71,17581,CON CONFORMIDAD,14-OCT-20,PECOSA - 17581,14-OCT-20,VB RESPONSABLE DE EPP,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,41,MASCARILLAS  DESCARTABLES,76,MASCARILLA DESCARTABLE QUIRURGICA 3 PLIEGUES,112,UNIDAD,1630,SOFFTYS,10000.0,0.97,9700.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,1,0,0,FUNDACION MEDICOS SOLIDARIOS,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,04-MAY-20,5,MAYO,C,004,004,CON CONFORMIDAD,04-MAY-20,DONACION,04-MAY-20,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,41,MASCARILLAS  DESCARTABLES,159,MASCARILLA DESCARTABLE TIPO N-95 X 20,112,UNIDAD,1347,3M,15.0,110.0,1650.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,1,0,0,FUNDACION MEDICOS SOLIDARIOS,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,04-MAY-20,5,MAYO,C,004,004,CON CONFORMIDAD,04-MAY-20,DONACION,04-MAY-20,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,41,MASCARILLAS  DESCARTABLES,117,MASCARILLA DESCARTABLE CON TIRAS X 50 ,112,UNIDAD,328,SIN MARCA,4.0,16.0,64.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,1,0,0,FUNDACION MEDICOS SOLIDARIOS,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,04-MAY-20,5,MAYO,C,004,004,CON CONFORMIDAD,04-MAY-20,DONACION,04-MAY-20,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,1281,CHAQUETA Y PANTALÓN DESCARTABLE TALLA M,112,UNIDAD,328,SIN MARCA,250.0,10.0,2500.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,1,0,0,FUNDACION MEDICOS SOLIDARIOS,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,04-MAY-20,5,MAYO,C,004,004,CON CONFORMIDAD,04-MAY-20,DONACION,04-MAY-20,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,720,MANDILON DESCARTABLE TALLA M,112,UNIDAD,328,SIN MARCA,1000.0,7.0,7000.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,1,0,0,FUNDACION MEDICOS SOLIDARIOS,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,04-MAY-20,5,MAYO,C,004,004,CON CONFORMIDAD,04-MAY-20,DONACION,04-MAY-20,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,36,GORRO DESCARTABLE,112,UNIDAD,328,SIN MARCA,20.0,8.5,170.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,1,0,0,FUNDACION MEDICOS SOLIDARIOS,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,04-MAY-20,5,MAYO,C,004,004,CON CONFORMIDAD,04-MAY-20,DONACION,04-MAY-20,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,28,GUANTES PARA EXAMEN DESCARTABLES (NO QUIRÚRGICOS),112,GUANTE PARA EXAMEN DESCARTABLE Nº 7 X 100 UNI,112,UNIDAD,328,SIN MARCA,40.0,14.0,560.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,1,0,0,FUNDACION MEDICOS SOLIDARIOS,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,04-MAY-20,5,MAYO,C,004,004,CON CONFORMIDAD,04-MAY-20,DONACION,04-MAY-20,DONACION PARA EL EQUIPO DE CONTINGENCIA COVID 19,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,1188,BOTA DESCARTABLE CUBRE CALZADO PARA CIRUJANO TALLA L X 100 UNI,112,UNIDAD,328,SIN MARCA,40.0,13.8,552.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,2,0,0,MARIA GEORGINA MEZARINA CORDERO,DONACION DE EQUIPOS DE PROTECCION PARA EL AREA DE COIVD 19,05-MAY-20,5,MAYO,C,005,005,CON CONFORMIDAD,05-MAY-20,DONACION,05-MAY-20,X,B,80,"SEGURIDAD: REPUESTOS, ACCESORIOS Y PROTECTORES",50,INDUMENTARIA Y PROTECTORES PARA PERSONAS,3,MASCARILLAS Y PROTECTORES DE SEGURIDAD,122,PROTECTOR FACIAL CON VISOR ,112,UNIDAD,328,SIN MARCA,34.0,50.0,1700.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,3,0,0,APES MISIONES RURALES,,30-JUN-20,6,JUNIO,C,21,0049,CON CONFORMIDAD,06-JUL-20,ACTA DE ENTREGA N°49-2020,06-JUL-20,ENTREGA EN LA DIRECCION EJECUTIVA,B,80,"SEGURIDAD: REPUESTOS, ACCESORIOS Y PROTECTORES",50,INDUMENTARIA Y PROTECTORES PARA PERSONAS,3,MASCARILLAS Y PROTECTORES DE SEGURIDAD,122,PROTECTOR FACIAL CON VISOR ,112,UNIDAD,328,SIN MARCA,250.0,15.0,3750.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,3,0,0,APES MISIONES RURALES,,30-JUN-20,6,JUNIO,C,21,0049,CON CONFORMIDAD,06-JUL-20,ACTA DE ENTREGA N°49-2020,06-JUL-20,ENTREGA EN LA DIRECCION EJECUTIVA,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,1443,MANDILÓN DESCARTABLE,112,UNIDAD,328,SIN MARCA,300.0,13.0,3900.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,3,0,0,APES MISIONES RURALES,,30-JUN-20,6,JUNIO,C,21,0049,CON CONFORMIDAD,06-JUL-20,ACTA DE ENTREGA N°49-2020,06-JUL-20,ENTREGA EN LA DIRECCION EJECUTIVA,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,1262,MAMELUCO DESCARTABLE TALLA M,112,UNIDAD,1583,MACROGUARD,50.0,50.0,2500.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,3,0,0,APES MISIONES RURALES,,30-JUN-20,6,JUNIO,C,21,0049,CON CONFORMIDAD,06-JUL-20,ACTA DE ENTREGA N°49-2020,06-JUL-20,ENTREGA EN LA DIRECCION EJECUTIVA,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,41,MASCARILLAS  DESCARTABLES,157,MASCARILLA DESCARTABLE EFICIENCIA DE FILTRADO 95%,112,UNIDAD,328,SIN MARCA,300.0,12.0,3600.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,4,0,0,FUNDACION FUENTE DE VIDA,INGRESA CON DOCUMENTO DE AGRADECIMIENTO,30-JUL-20,7,JULIO,C,31,030,CON CONFORMIDAD,30-JUL-20,CARTA DE AGRADECIMIENTO,30-JUL-20,RECIBE EL JEFE DE LOGISTICA  EN LA DIRECCION  CON FECHA  20.07.2020,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,41,MASCARILLAS  DESCARTABLES,158,MASCARILLA DESCARTABLE TIPO N-95,112,UNIDAD,1347,3M,200.0,49.0,9800.0
2020,ANCASH,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,741,402,REGION ANCASH-SALUD HUARAZ,1,17,COVID 19,4,NEA - DONACION,5,0,0,MISIONERO DO KYUNG KIM,CARTA N°0024-2020-REGION ANCASH-DIRES-A-H-VRG/D DE FECHA 18.06.2020,30-JUL-20,7,JULIO,C,32,S/N,CON CONFORMIDAD,30-JUL-20,CARTA N°0024-2020,31-JUL-20,INGRESA A DIRECCION,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,41,MASCARILLAS  DESCARTABLES,96,MASCARILLA DESCARTABLE TIPO CONO,112,UNIDAD,1579,ILWOUL,600.0,14.0,8400.0
