ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,1,0,0,MUNICIPALIDAD PROVINCIAL DE COTABAMBAS - TAMBOBAMBA,INGRESO ALMACEN DE MATERIAL DE LIMPIEZA.,01-JUN-20,6,JUNIO,C,394-2020,394,CON CONFORMIDAD,01-JUN-20,394-2020,01-JUN-20,AINGRESO DE MATERIALES DE LIMPIEZA,B,51,"LABORATORIO Y GABINETE: IMPLEMENTOS, MATERIALES, REPUESTOS Y ACCESORIOS",20,LABORATORIO Y GABINETE: MATERIALES,28,OTROS MATERIALES DE USO EN LABORATORIO,805,KIT DE LIMPIEZA BASICA X 12 BOLSAS,112,UNIDAD,328,SIN MARCA,23.0,320.869565,7380.0
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,2,0,0,MUNICIPALIDAD PROVINCIAL DE COTABAMBAS - TAMBOBAMBA,INGRESO ALMACEN DEMATERIALES DE TAMIZAJE.,01-JUN-20,6,JUNIO,C,149-2020,149,CON CONFORMIDAD,01-JUN-20,149,01-JUN-20,ATENCION DE EQUIPOS THERMOMETRO DIGITAL,B,60,INSTRUMENTO DE MEDICIÓN,22,EQUIPO INSTRUMENTOS DE MEDICIÓN ,9281,TERMÓMETRO INFRARROJO,1,TERMOMETRO INFRARROJO,112,UNIDAD,6284,CONTEX,9.0,500.0,4500.0
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,3,0,0,APURIMAC ONLUS,INGRESO ALMACEN DONACION DE EQUIPOS BIOMEDICOS DEL ONG APURIMAC ONLUS.,26-AUG-20,8,AGOSTO,C,131,131,CON CONFORMIDAD,26-AUG-20,R.D. 131,26-AUG-20,INGRESO ALMACEN DONACION DE EQUIPOS BIOMEDICOS POR EL ONG APURIMAC ONLUS.,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,526,ANALIZADOR HEMATOLÓGICO,1,ANALIZADOR HEMATOLOGICO,112,UNIDAD,6838,S/ MARCA,14500.0,1.0,14500.0
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,3,0,0,APURIMAC ONLUS,INGRESO ALMACEN DONACION DE EQUIPOS BIOMEDICOS DEL ONG APURIMAC ONLUS.,26-AUG-20,8,AGOSTO,C,131,131,CON CONFORMIDAD,26-AUG-20,R.D. 131,26-AUG-20,INGRESO ALMACEN DONACION DE EQUIPOS BIOMEDICOS POR EL ONG APURIMAC ONLUS.,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,3382,ELECTROBISTURÍ,1,ELECTROBISTURI,112,UNIDAD,6838,S/ MARCA,27994.0,1.0,27994.0
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,4,0,0,REGION APURIMAC-SALUD APURIMAC,INGRESO ALMACEN DE EQUIPOS BIOMEDICOS.,10-SEP-20,9,SEPTIEMBRE,C,571,571,CON CONFORMIDAD,10-SEP-20,MEMORANDUM 571,10-SEP-20, INGRESO DE EQUIPOS BIOMEDICOS,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,8839,OXÍMETRO DE PULSOS,1,OXIMETRO DE PULSOS,112,UNIDAD,6838,S/ MARCA,30.0,265.858,7975.74
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,4,0,0,REGION APURIMAC-SALUD APURIMAC,INGRESO ALMACEN DE EQUIPOS BIOMEDICOS.,10-SEP-20,9,SEPTIEMBRE,C,571,571,CON CONFORMIDAD,10-SEP-20,MEMORANDUM 571,10-SEP-20, INGRESO DE EQUIPOS BIOMEDICOS,B,60,INSTRUMENTO DE MEDICIÓN,22,EQUIPO INSTRUMENTOS DE MEDICIÓN ,9281,TERMÓMETRO INFRARROJO,1,TERMOMETRO INFRARROJO,112,UNIDAD,6838,S/ MARCA,1.0,440.0,440.0
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,4,0,0,REGION APURIMAC-SALUD APURIMAC,INGRESO ALMACEN DE EQUIPOS BIOMEDICOS.,10-SEP-20,9,SEPTIEMBRE,C,571,571,CON CONFORMIDAD,10-SEP-20,MEMORANDUM 571,10-SEP-20, INGRESO DE EQUIPOS BIOMEDICOS,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,5571,EQUIPO NEBULIZADOR,1,EQUIPO NEBULIZADOR,112,UNIDAD,6838,S/ MARCA,1.0,239.0,239.0
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,4,0,0,REGION APURIMAC-SALUD APURIMAC,INGRESO ALMACEN DE EQUIPOS BIOMEDICOS.,10-SEP-20,9,SEPTIEMBRE,C,571,571,CON CONFORMIDAD,10-SEP-20,MEMORANDUM 571,10-SEP-20, INGRESO DE EQUIPOS BIOMEDICOS,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,2299,CONCENTRADOR DE OXÍGENO,1,CONCENTRADOR DE OXIGENO,112,UNIDAD,6838,S/ MARCA,1.0,6500.0,6500.0
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,5,0,0,ADMINISTRACION CENTRAL - MINSA,ATENCION DE CAMA CAMILLA MULTIPROPOSITO.,17-NOV-20,11,NOVIEMBRE,C,3167,3167,CON CONFORMIDAD,17-NOV-20,3167,17-NOV-20,ATENCION DE CAMA CAMILLA MULTIPROPOSITO.,B,53,HOSPITALIZACIÓN,64,MOBILIARIO DE HOSPITALIZACIÓN,1525,CAMA CAMILLA MULTIPROPÓSITO,1,CAMA CAMILLA MULTIPROPOSITO,112,UNIDAD,6838,S/ MARCA,4.0,30000.0,120000.0
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,6,0,0,REGION APURIMAC-SALUD APURIMAC,INGRESO ALMACEN DE CAJAS DE BIOSEGURIDAD.,19-NOV-20,11,NOVIEMBRE,C,676,676,CON CONFORMIDAD,19-NOV-20,676,19-NOV-20,INGRESO DE CAJAS DE BIOSEGURIDAD DE CARTON.,B,51,"LABORATORIO Y GABINETE: IMPLEMENTOS, MATERIALES, REPUESTOS Y ACCESORIOS",20,LABORATORIO Y GABINETE: MATERIALES,4,CAJAS PARA USO EN LABORATORIO,134,CAJA DE BIOSEGURIDAD DE CARTON X 5 L,112,UNIDAD,6838,S/ MARCA,800.0,1.476613,1181.29
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,7,0,0,REGION APURIMAC-SALUD APURIMAC,INGRESO ALMACEN DE COMPLEMENTOS ARA CADENA DE FRIO.,19-NOV-20,11,NOVIEMBRE,C,677,677,CON CONFORMIDAD,19-NOV-20,677,19-NOV-20,ATENCION DE COMPLEMENTOS PARA CADENA DE FRIO.,B,64,ENSERES Y ACCESORIOS  :  INCLUYE AULAS Y TALLERES,61,ENSERES Y ACCESORIOS  DE MATERIAL SINTÉTICO,5,OTROS ENSERES Y ACCESORIOS DE MATERIAL SINTÉTICO,530,PAQUETE FRIO DE AGUA CON TAPA ROSCA 400 mL,112,UNIDAD,6838,S/ MARCA,830.0,1.500048,1245.04
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,7,0,0,REGION APURIMAC-SALUD APURIMAC,INGRESO ALMACEN DE COMPLEMENTOS ARA CADENA DE FRIO.,19-NOV-20,11,NOVIEMBRE,C,677,677,CON CONFORMIDAD,19-NOV-20,677,19-NOV-20,ATENCION DE COMPLEMENTOS PARA CADENA DE FRIO.,B,53,HOSPITALIZACIÓN,64,MOBILIARIO DE HOSPITALIZACIÓN,9831,TERMO PARA TRANSPORTE DE BIOLÓGICOS Y VACUNAS,2,TERMO PORTA VACUNAS 1.7 L,112,UNIDAD,20006,BLOW KINGS,68.0,31.857941,2166.34
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,8,0,0,MUNICIPALIDAD DISTRITAL DE HAQUIRA,INGRESO ALMACEN DE EQUIPOS BIOMEDICOS PARA C.S. HAQUIRA.,25-NOV-20,11,NOVIEMBRE,C,98,98,CON CONFORMIDAD,25-NOV-20,98,25-NOV-20,INGRESO ALMACEN DE EQUIPOS BIOMEDICOS PARA C.S. HAQUIRA.,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,4619,EQUIPO DE OXIGENOTERAPIA,1,EQUIPO DE OXIGENOTERAPIA,112,UNIDAD,6838,S/ MARCA,5.0,1593.22,7966.1
2020,APURIMAC,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,1500,407,GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS,1,1,SUB ALMACEN GENERAL,4,NEA - DONACION,8,0,0,MUNICIPALIDAD DISTRITAL DE HAQUIRA,INGRESO ALMACEN DE EQUIPOS BIOMEDICOS PARA C.S. HAQUIRA.,25-NOV-20,11,NOVIEMBRE,C,98,98,CON CONFORMIDAD,25-NOV-20,98,25-NOV-20,INGRESO ALMACEN DE EQUIPOS BIOMEDICOS PARA C.S. HAQUIRA.,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,8197,MONITOR MULTI PARÁMETRO,4,MONITOR MULTI PARAMETRO DE 5 PARAMETROS,112,UNIDAD,6630,EDAN,3.0,10112.993333,30338.98
