ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,CAJAMARCA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,445,GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,1671,409,GOB. REG. CAJAMARCA - SALUD SANTA CRUZ,1,0,ALMACEN GENERAL,4,NEA - DONACION,1,0,0,REGION CAJAMARCA-SALUD CAJAMARCA,,01-MAY-20,5,MAYO,C,PCS 549,549,CON CONFORMIDAD,09-JUN-20,PECOSA N° 549,01-MAY-20,"POR LA CONFORMIDAD DEL INGRESO DE NEA DONACION N° 549 DE LA DIRESA CAJAMARCA, PROCEDENTE DE DONACION MINSA N° 0404, PARA SER DISTRIBUIDO DE ACUERDO AL PERSONAL DE EPIDEMIOLOGIA ASIGNADO DE LAS 4 MICROREDES DE SALUD, AMBITO UESSC, PARA INGRESO DE INFORMACI",B,74,OFICINA,8,CÓMPUTO,7250,MODEM EXTERNO,1,MODEM EXTERNO,112,UNIDAD,1567,ZTE,4.0,133.0,532.0
2020,CAJAMARCA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,445,GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,1671,409,GOB. REG. CAJAMARCA - SALUD SANTA CRUZ,1,0,ALMACEN GENERAL,4,NEA - DONACION,1,0,0,REGION CAJAMARCA-SALUD CAJAMARCA,,01-MAY-20,5,MAYO,C,PCS 549,549,CON CONFORMIDAD,09-JUN-20,PECOSA N° 549,01-MAY-20,"POR LA CONFORMIDAD DEL INGRESO DE NEA DONACION N° 549 DE LA DIRESA CAJAMARCA, PROCEDENTE DE DONACION MINSA N° 0404, PARA SER DISTRIBUIDO DE ACUERDO AL PERSONAL DE EPIDEMIOLOGIA ASIGNADO DE LAS 4 MICROREDES DE SALUD, AMBITO UESSC, PARA INGRESO DE INFORMACI",B,74,OFICINA,8,CÓMPUTO,9493,TABLETA PAD,1,TABLETA PAD,112,UNIDAD,1341,ADVANCE,4.0,246.455,985.82
2020,CAJAMARCA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,445,GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,1671,409,GOB. REG. CAJAMARCA - SALUD SANTA CRUZ,1,0,ALMACEN GENERAL,4,NEA - DONACION,2,0,0,REGION CAJAMARCA-SALUD CAJAMARCA,,29-MAY-20,5,MAYO,C,PCS N° 178,718,CON CONFORMIDAD,09-JUN-20,PECOSA N° 718,29-MAY-20,"POR EL INGRESO AL ALMACEN GENERAL DE INSUMOS Y EQUIPOS SEGUN NEA DONACION N° 718 DE DIRESA CAJAMARCA , PROCEDENTE DE NEA DONACION N° 0943 MINSA",B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,5571,EQUIPO NEBULIZADOR,5,EQUIPO NEBULIZADOR ELECTRICO PORTATIL,112,UNIDAD,1177,BEURER,1.0,350.0,350.0
2020,CAJAMARCA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,445,GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,1671,409,GOB. REG. CAJAMARCA - SALUD SANTA CRUZ,1,0,ALMACEN GENERAL,4,NEA - DONACION,2,0,0,REGION CAJAMARCA-SALUD CAJAMARCA,,29-MAY-20,5,MAYO,C,PCS N° 178,718,CON CONFORMIDAD,09-JUN-20,PECOSA N° 718,29-MAY-20,"POR EL INGRESO AL ALMACEN GENERAL DE INSUMOS Y EQUIPOS SEGUN NEA DONACION N° 718 DE DIRESA CAJAMARCA , PROCEDENTE DE NEA DONACION N° 0943 MINSA",B,89,"VESTUARIO, ZAPATERÍA Y ACCESORIOS, TALABARTERÍA Y MATERIALES TEXTILES",96,VESTUARIOS,12,OTROS VESTUARIOS,3468,MASCARILLA DE TELA ANTIFLUIDO 100% ALGODÓN,112,UNIDAD,328,SIN MARCA,100.0,2.0,200.0
2020,CAJAMARCA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,445,GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,1671,409,GOB. REG. CAJAMARCA - SALUD SANTA CRUZ,1,0,ALMACEN GENERAL,4,NEA - DONACION,2,0,0,REGION CAJAMARCA-SALUD CAJAMARCA,,29-MAY-20,5,MAYO,C,PCS N° 178,718,CON CONFORMIDAD,09-JUN-20,PECOSA N° 718,29-MAY-20,"POR EL INGRESO AL ALMACEN GENERAL DE INSUMOS Y EQUIPOS SEGUN NEA DONACION N° 718 DE DIRESA CAJAMARCA , PROCEDENTE DE NEA DONACION N° 0943 MINSA",B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,41,MASCARILLAS  DESCARTABLES,76,MASCARILLA DESCARTABLE QUIRURGICA 3 PLIEGUES,112,UNIDAD,328,SIN MARCA,100.0,3.0,300.0
2020,CAJAMARCA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,445,GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,1671,409,GOB. REG. CAJAMARCA - SALUD SANTA CRUZ,1,0,ALMACEN GENERAL,4,NEA - DONACION,2,0,0,REGION CAJAMARCA-SALUD CAJAMARCA,,29-MAY-20,5,MAYO,C,PCS N° 178,718,CON CONFORMIDAD,09-JUN-20,PECOSA N° 718,29-MAY-20,"POR EL INGRESO AL ALMACEN GENERAL DE INSUMOS Y EQUIPOS SEGUN NEA DONACION N° 718 DE DIRESA CAJAMARCA , PROCEDENTE DE NEA DONACION N° 0943 MINSA",B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,8839,OXÍMETRO DE PULSOS,4,OXIMETRO DE PULSOS PORTATIL,112,UNIDAD,1568,CHOICEMMED,2.0,120.0,240.0
2020,CAJAMARCA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,445,GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,1671,409,GOB. REG. CAJAMARCA - SALUD SANTA CRUZ,1,0,ALMACEN GENERAL,4,NEA - DONACION,3,0,0,REGION CAJAMARCA-SALUD CAJAMARCA,,31-MAY-20,5,MAYO,C,PCS N° 740,740,CON CONFORMIDAD,09-JUN-20,PECOSA N° 740,30-MAY-20,"POR LA CONFORMIDAD DEL INGRESO AL ALMACEN DE NEA DONACION N° 740, PROCEDENTE DEL MINSA SEGUN PECOSA N° 0684 - 0947 MINSA PARA EL SEGUIMINETO CLINICO - COVID - 19",B,74,OFICINA,8,CÓMPUTO,7250,MODEM EXTERNO,1,MODEM EXTERNO,112,UNIDAD,1567,ZTE,2.0,133.0,266.0
2020,CAJAMARCA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,445,GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,1671,409,GOB. REG. CAJAMARCA - SALUD SANTA CRUZ,1,0,ALMACEN GENERAL,4,NEA - DONACION,3,0,0,REGION CAJAMARCA-SALUD CAJAMARCA,,31-MAY-20,5,MAYO,C,PCS N° 740,740,CON CONFORMIDAD,09-JUN-20,PECOSA N° 740,30-MAY-20,"POR LA CONFORMIDAD DEL INGRESO AL ALMACEN DE NEA DONACION N° 740, PROCEDENTE DEL MINSA SEGUN PECOSA N° 0684 - 0947 MINSA PARA EL SEGUIMINETO CLINICO - COVID - 19",B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,8839,OXÍMETRO DE PULSOS,4,OXIMETRO DE PULSOS PORTATIL,112,UNIDAD,1568,CHOICEMMED,2.0,120.0,240.0
2020,CAJAMARCA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,445,GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,1671,409,GOB. REG. CAJAMARCA - SALUD SANTA CRUZ,1,0,ALMACEN GENERAL,4,NEA - DONACION,3,0,0,REGION CAJAMARCA-SALUD CAJAMARCA,,31-MAY-20,5,MAYO,C,PCS N° 740,740,CON CONFORMIDAD,09-JUN-20,PECOSA N° 740,30-MAY-20,"POR LA CONFORMIDAD DEL INGRESO AL ALMACEN DE NEA DONACION N° 740, PROCEDENTE DEL MINSA SEGUN PECOSA N° 0684 - 0947 MINSA PARA EL SEGUIMINETO CLINICO - COVID - 19",B,74,OFICINA,8,CÓMPUTO,9493,TABLETA PAD,1,TABLETA PAD,112,UNIDAD,1341,ADVANCE,2.0,246.46,492.92
2020,CAJAMARCA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,445,GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,1671,409,GOB. REG. CAJAMARCA - SALUD SANTA CRUZ,1,0,ALMACEN GENERAL,4,NEA - DONACION,3,0,0,REGION CAJAMARCA-SALUD CAJAMARCA,,31-MAY-20,5,MAYO,C,PCS N° 740,740,CON CONFORMIDAD,09-JUN-20,PECOSA N° 740,30-MAY-20,"POR LA CONFORMIDAD DEL INGRESO AL ALMACEN DE NEA DONACION N° 740, PROCEDENTE DEL MINSA SEGUN PECOSA N° 0684 - 0947 MINSA PARA EL SEGUIMINETO CLINICO - COVID - 19",B,60,INSTRUMENTO DE MEDICIÓN,22,EQUIPO INSTRUMENTOS DE MEDICIÓN ,9271,TERMÓMETRO DE MÁXIMA Y MÍNIMA,43,TERMOMETRO DE MAXIMA Y MINIMA  DE -32ºC A 400ºC DIGITAL LASER INFRAROJO,112,UNIDAD,1569,HETAIDA,6.0,4.719,28.31
