ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,HUANCAVELICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,447,GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,1648,406,GOB. REG. HUANCAVELICA - RED DE SALUD HUANCAVELICA,3,0,ALMACEN DE DONACIONES Y TRANSFERENCIAS,4,NEA - DONACION,1,0,0,REGION HUANCAVELICA-SALUD,SE HACE EL INGRESO CONFORME DE LA DONACION DEL MINISTERIO DE SALUD,31-JUL-20,7,JULIO,C,PEC 0046,PECOSA N°046,CON CONFORMIDAD,05-AUG-20,PEDIDO DE COMPROBANTE DE SALIDA N°046,31-JUL-20,"SE OTORGA LA CONFORMIDAD POR LA DONACION E INGRESO DE ACUERDO AL PEDIDO DE COMPROBANTE DE SALIDA EMITIDO POR LA DIRESA HUANCAVELICA , POR EL VALOR EN LIBROS DE  S/. 8,008.00  OCHO MIL OCHO Y 00/100 SOLES.",B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,8839,OXÍMETRO DE PULSOS,1,OXIMETRO DE PULSOS,112,UNIDAD,1249,CONTEC,91.0,88.0,8008.0
2020,HUANCAVELICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,447,GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,803,400,REGION HUANCAVELICA-SALUD,2,0,ALMACEN MEDICAMENTOS,4,NEA - DONACION,1,0,0,DIRECCION GENERAL DE DESASTRES Y DEFENSA NACIONAL,INGRESO POR TRANSFERENCIA DEFINITIVA EN CALIDAD DE DONACION DE LA DIGERD PARA LA RED CHURCAMPA,31-MAR-20,3,MARZO,C,PEC N°0004,INF.TEC.N°04-D,CON CONFORMIDAD,02-APR-20,INF.TEC N°04-2020/DAUM,24-MAR-20,"INGRESO POR TRANSFEERENCIA DEFINTIVA EN CALIDAD DE DONACION PARA LA RED DE SALUD CHURCAMPA SEGUN INFORME TEC. N°04-2020-GOB.REG.HVCA/GRDS-DIRESA-DEMID/DAUM, INFORME N°249-2020-GOB.REG,HVCA/GSRCH-UORSCH/D-UGMID Y PECOSA N°0004-2020-DGDN.",B,58,PRODUCTOS FARMACÉUTICOS,2,"MEDICAMENTOS ANALGÉSICOS, ANTIPIRÉTICOS, ANTIINFLAMATORIOS Y ANTIGOTOSOS",50,ÁCIDO ACETILSALICÍLICO.,1,ACIDO ACETILSALICILICO 100 mg TAB,112,UNIDAD,2713,SIN MARCA DN,2000.0,1e-06,0.0
2020,HUANCAVELICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,447,GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,803,400,REGION HUANCAVELICA-SALUD,2,0,ALMACEN MEDICAMENTOS,4,NEA - DONACION,1,0,0,DIRECCION GENERAL DE DESASTRES Y DEFENSA NACIONAL,INGRESO POR TRANSFERENCIA DEFINITIVA EN CALIDAD DE DONACION DE LA DIGERD PARA LA RED CHURCAMPA,31-MAR-20,3,MARZO,C,PEC N°0004,INF.TEC.N°04-D,CON CONFORMIDAD,02-APR-20,INF.TEC N°04-2020/DAUM,24-MAR-20,"INGRESO POR TRANSFEERENCIA DEFINTIVA EN CALIDAD DE DONACION PARA LA RED DE SALUD CHURCAMPA SEGUN INFORME TEC. N°04-2020-GOB.REG.HVCA/GRDS-DIRESA-DEMID/DAUM, INFORME N°249-2020-GOB.REG,HVCA/GSRCH-UORSCH/D-UGMID Y PECOSA N°0004-2020-DGDN.",B,58,PRODUCTOS FARMACÉUTICOS,2,"MEDICAMENTOS ANALGÉSICOS, ANTIPIRÉTICOS, ANTIINFLAMATORIOS Y ANTIGOTOSOS",50,ÁCIDO ACETILSALICÍLICO.,2,ACIDO ACETILSALICILICO 500 mg TAB,112,UNIDAD,2713,SIN MARCA DN,500.0,1e-06,0.0
2020,HUANCAVELICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,447,GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,803,400,REGION HUANCAVELICA-SALUD,2,0,ALMACEN MEDICAMENTOS,4,NEA - DONACION,1,0,0,DIRECCION GENERAL DE DESASTRES Y DEFENSA NACIONAL,INGRESO POR TRANSFERENCIA DEFINITIVA EN CALIDAD DE DONACION DE LA DIGERD PARA LA RED CHURCAMPA,31-MAR-20,3,MARZO,C,PEC N°0004,INF.TEC.N°04-D,CON CONFORMIDAD,02-APR-20,INF.TEC N°04-2020/DAUM,24-MAR-20,"INGRESO POR TRANSFEERENCIA DEFINTIVA EN CALIDAD DE DONACION PARA LA RED DE SALUD CHURCAMPA SEGUN INFORME TEC. N°04-2020-GOB.REG.HVCA/GRDS-DIRESA-DEMID/DAUM, INFORME N°249-2020-GOB.REG,HVCA/GSRCH-UORSCH/D-UGMID Y PECOSA N°0004-2020-DGDN.",B,58,PRODUCTOS FARMACÉUTICOS,49,"MEDICAMENTOS PARA SIST.NERVIOSO CENTRAL:  SEDANTES, ANSIOLÍTICOS, ANTIDEPRESIVOS, HIPNÓTICOS Y OTROS",3,ALPRAZOLAM,3,ALPRAZOLAM 500 µg (0.5 mg) TAB,112,UNIDAD,2713,SIN MARCA DN,500.0,1e-06,0.0
2020,HUANCAVELICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,447,GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,803,400,REGION HUANCAVELICA-SALUD,2,0,ALMACEN MEDICAMENTOS,4,NEA - DONACION,1,0,0,DIRECCION GENERAL DE DESASTRES Y DEFENSA NACIONAL,INGRESO POR TRANSFERENCIA DEFINITIVA EN CALIDAD DE DONACION DE LA DIGERD PARA LA RED CHURCAMPA,31-MAR-20,3,MARZO,C,PEC N°0004,INF.TEC.N°04-D,CON CONFORMIDAD,02-APR-20,INF.TEC N°04-2020/DAUM,24-MAR-20,"INGRESO POR TRANSFEERENCIA DEFINTIVA EN CALIDAD DE DONACION PARA LA RED DE SALUD CHURCAMPA SEGUN INFORME TEC. N°04-2020-GOB.REG.HVCA/GRDS-DIRESA-DEMID/DAUM, INFORME N°249-2020-GOB.REG,HVCA/GSRCH-UORSCH/D-UGMID Y PECOSA N°0004-2020-DGDN.",B,58,PRODUCTOS FARMACÉUTICOS,7,MEDICAMENTOS ANTIINFECCIOSOS ANTIBIÓTICOS:  PENICILINAS,15,AMOXICILINA + ÁCIDO CLAVULÁNICO,6,AMOXICILINA + ACIDO CLAVULANICO (COMO SAL POTASICA) 250 mg + 62.5 mg/5 mL SUS 60 mL,112,UNIDAD,2713,SIN MARCA DN,100.0,1e-06,0.0
2020,HUANCAVELICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,447,GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,803,400,REGION HUANCAVELICA-SALUD,2,0,ALMACEN MEDICAMENTOS,4,NEA - DONACION,1,0,0,DIRECCION GENERAL DE DESASTRES Y DEFENSA NACIONAL,INGRESO POR TRANSFERENCIA DEFINITIVA EN CALIDAD DE DONACION DE LA DIGERD PARA LA RED CHURCAMPA,31-MAR-20,3,MARZO,C,PEC N°0004,INF.TEC.N°04-D,CON CONFORMIDAD,02-APR-20,INF.TEC N°04-2020/DAUM,24-MAR-20,"INGRESO POR TRANSFEERENCIA DEFINTIVA EN CALIDAD DE DONACION PARA LA RED DE SALUD CHURCAMPA SEGUN INFORME TEC. N°04-2020-GOB.REG.HVCA/GRDS-DIRESA-DEMID/DAUM, INFORME N°249-2020-GOB.REG,HVCA/GSRCH-UORSCH/D-UGMID Y PECOSA N°0004-2020-DGDN.",B,58,PRODUCTOS FARMACÉUTICOS,7,MEDICAMENTOS ANTIINFECCIOSOS ANTIBIÓTICOS:  PENICILINAS,10,AMOXICILINA,7,AMOXICILINA 500 mg TAB,112,UNIDAD,2713,SIN MARCA DN,8000.0,1e-06,0.01
2020,HUANCAVELICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,447,GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,803,400,REGION HUANCAVELICA-SALUD,2,0,ALMACEN MEDICAMENTOS,4,NEA - DONACION,1,0,0,DIRECCION GENERAL DE DESASTRES Y DEFENSA NACIONAL,INGRESO POR TRANSFERENCIA DEFINITIVA EN CALIDAD DE DONACION DE LA DIGERD PARA LA RED CHURCAMPA,31-MAR-20,3,MARZO,C,PEC N°0004,INF.TEC.N°04-D,CON CONFORMIDAD,02-APR-20,INF.TEC N°04-2020/DAUM,24-MAR-20,"INGRESO POR TRANSFEERENCIA DEFINTIVA EN CALIDAD DE DONACION PARA LA RED DE SALUD CHURCAMPA SEGUN INFORME TEC. N°04-2020-GOB.REG.HVCA/GRDS-DIRESA-DEMID/DAUM, INFORME N°249-2020-GOB.REG,HVCA/GSRCH-UORSCH/D-UGMID Y PECOSA N°0004-2020-DGDN.",B,58,PRODUCTOS FARMACÉUTICOS,32,MEDICAMENTOS CARDIOVASCULARES: REGULADORES DE LÍPIDOS,13,ATORVASTATINA.,3,ATORVASTATINA (COMO SAL CALCICA) 40 mg TAB,112,UNIDAD,2713,SIN MARCA DN,800.0,1e-06,0.0
2020,HUANCAVELICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,447,GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,803,400,REGION HUANCAVELICA-SALUD,2,0,ALMACEN MEDICAMENTOS,4,NEA - DONACION,1,0,0,DIRECCION GENERAL DE DESASTRES Y DEFENSA NACIONAL,INGRESO POR TRANSFERENCIA DEFINITIVA EN CALIDAD DE DONACION DE LA DIGERD PARA LA RED CHURCAMPA,31-MAR-20,3,MARZO,C,PEC N°0004,INF.TEC.N°04-D,CON CONFORMIDAD,02-APR-20,INF.TEC N°04-2020/DAUM,24-MAR-20,"INGRESO POR TRANSFEERENCIA DEFINTIVA EN CALIDAD DE DONACION PARA LA RED DE SALUD CHURCAMPA SEGUN INFORME TEC. N°04-2020-GOB.REG.HVCA/GRDS-DIRESA-DEMID/DAUM, INFORME N°249-2020-GOB.REG,HVCA/GSRCH-UORSCH/D-UGMID Y PECOSA N°0004-2020-DGDN.",B,58,PRODUCTOS FARMACÉUTICOS,50,"MEDICAMENTOS QUE ACTUAN EN LAS VÍAS RESPIRATORIAS: ANTIASMAT, ANTIHISTAM. (BLOQUEADORES H1) Y OTROS",7,BECLOMETASONA,2,BECLOMETASONA DIPROPIONATO 250 µg/DOSIS AER 200 DOSIS,112,UNIDAD,2713,SIN MARCA DN,120.0,1e-06,0.0
2020,HUANCAVELICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,447,GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,803,400,REGION HUANCAVELICA-SALUD,2,0,ALMACEN MEDICAMENTOS,4,NEA - DONACION,1,0,0,DIRECCION GENERAL DE DESASTRES Y DEFENSA NACIONAL,INGRESO POR TRANSFERENCIA DEFINITIVA EN CALIDAD DE DONACION DE LA DIGERD PARA LA RED CHURCAMPA,31-MAR-20,3,MARZO,C,PEC N°0004,INF.TEC.N°04-D,CON CONFORMIDAD,02-APR-20,INF.TEC N°04-2020/DAUM,24-MAR-20,"INGRESO POR TRANSFEERENCIA DEFINTIVA EN CALIDAD DE DONACION PARA LA RED DE SALUD CHURCAMPA SEGUN INFORME TEC. N°04-2020-GOB.REG.HVCA/GRDS-DIRESA-DEMID/DAUM, INFORME N°249-2020-GOB.REG,HVCA/GSRCH-UORSCH/D-UGMID Y PECOSA N°0004-2020-DGDN.",B,58,PRODUCTOS FARMACÉUTICOS,7,MEDICAMENTOS ANTIINFECCIOSOS ANTIBIÓTICOS:  PENICILINAS,11,BENCILPENICILINA PROCAÍNA,2,BENCILPENICILINA PROCAINICA 1000000 UI INY CON DILUYENTE,112,UNIDAD,2713,SIN MARCA DN,1000.0,1e-06,0.0
2020,HUANCAVELICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,447,GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,803,400,REGION HUANCAVELICA-SALUD,2,0,ALMACEN MEDICAMENTOS,4,NEA - DONACION,1,0,0,DIRECCION GENERAL DE DESASTRES Y DEFENSA NACIONAL,INGRESO POR TRANSFERENCIA DEFINITIVA EN CALIDAD DE DONACION DE LA DIGERD PARA LA RED CHURCAMPA,31-MAR-20,3,MARZO,C,PEC N°0004,INF.TEC.N°04-D,CON CONFORMIDAD,02-APR-20,INF.TEC N°04-2020/DAUM,24-MAR-20,"INGRESO POR TRANSFEERENCIA DEFINTIVA EN CALIDAD DE DONACION PARA LA RED DE SALUD CHURCAMPA SEGUN INFORME TEC. N°04-2020-GOB.REG.HVCA/GRDS-DIRESA-DEMID/DAUM, INFORME N°249-2020-GOB.REG,HVCA/GSRCH-UORSCH/D-UGMID Y PECOSA N°0004-2020-DGDN.",B,58,PRODUCTOS FARMACÉUTICOS,7,MEDICAMENTOS ANTIINFECCIOSOS ANTIBIÓTICOS:  PENICILINAS,16,BENZATINA BENCILPENICILINA,1,BENZATINA BENCILPENICILINA 1200000 UI INY CON DILUYENTE,112,UNIDAD,2713,SIN MARCA DN,1000.0,1e-06,0.0
