ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,ICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,449,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,1195,404,REGION ICA-HOSPITAL SAN JUAN DE DIOS - PISCO,1,3,ALMACEN TRANSFERENCIA Y DONACIONES,4,NEA - DONACION,1,0,0,DIRESA -ICA  (SISMED),400 DIRECCION REGIONAL DE SALUD - ICA,03-MAR-20,3,MARZO,C,01,01,CON CONFORMIDAD,10-MAR-20,01,03-MAR-20,PECOSA N° 1474400 DIRECCION REGIONAL DE SALUD - ICACENTRO DE DISTRIBUCION (SISMED),B,58,PRODUCTOS FARMACÉUTICOS,27,MEDICAMENTOS PARA EL SISTEMA NERVIOSO CENTRAL:  MEDICAMENTOS CONTRA EL PARKINSON,9,BIPERIDENO.,2,BIPERIDENO CLORHIDRATO 2 mg TAB,112,UNIDAD,328,SIN MARCA,2000.0,0.079845,159.69
2020,ICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,449,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,1195,404,REGION ICA-HOSPITAL SAN JUAN DE DIOS - PISCO,1,3,ALMACEN TRANSFERENCIA Y DONACIONES,4,NEA - DONACION,1,0,0,DIRESA -ICA  (SISMED),400 DIRECCION REGIONAL DE SALUD - ICA,03-MAR-20,3,MARZO,C,01,01,CON CONFORMIDAD,10-MAR-20,01,03-MAR-20,PECOSA N° 1474400 DIRECCION REGIONAL DE SALUD - ICACENTRO DE DISTRIBUCION (SISMED),B,58,PRODUCTOS FARMACÉUTICOS,5,MEDICAMENTOS PARA EL SISTEMA NERVIOSO CENTRAL: ANTICONVULSIVOS,8,CARBAMAZEPINA.,1,CARBAMAZEPINA 200 mg TAB,112,UNIDAD,328,SIN MARCA,500.0,0.07462,37.31
2020,ICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,449,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,1195,404,REGION ICA-HOSPITAL SAN JUAN DE DIOS - PISCO,1,3,ALMACEN TRANSFERENCIA Y DONACIONES,4,NEA - DONACION,1,0,0,DIRESA -ICA  (SISMED),400 DIRECCION REGIONAL DE SALUD - ICA,03-MAR-20,3,MARZO,C,01,01,CON CONFORMIDAD,10-MAR-20,01,03-MAR-20,PECOSA N° 1474400 DIRECCION REGIONAL DE SALUD - ICACENTRO DE DISTRIBUCION (SISMED),B,58,PRODUCTOS FARMACÉUTICOS,5,MEDICAMENTOS PARA EL SISTEMA NERVIOSO CENTRAL: ANTICONVULSIVOS,9,CLONAZEPAM.,3,CLONAZEPAM 2 mg TAB,112,UNIDAD,328,SIN MARCA,1000.0,0.01612,16.12
2020,ICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,449,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,1195,404,REGION ICA-HOSPITAL SAN JUAN DE DIOS - PISCO,1,3,ALMACEN TRANSFERENCIA Y DONACIONES,4,NEA - DONACION,1,0,0,DIRESA -ICA  (SISMED),400 DIRECCION REGIONAL DE SALUD - ICA,03-MAR-20,3,MARZO,C,01,01,CON CONFORMIDAD,10-MAR-20,01,03-MAR-20,PECOSA N° 1474400 DIRECCION REGIONAL DE SALUD - ICACENTRO DE DISTRIBUCION (SISMED),B,58,PRODUCTOS FARMACÉUTICOS,5,MEDICAMENTOS PARA EL SISTEMA NERVIOSO CENTRAL: ANTICONVULSIVOS,9,CLONAZEPAM.,2,CLONAZEPAM 500 µg (0.5 mg) TAB,112,UNIDAD,328,SIN MARCA,1000.0,0.01644,16.44
2020,ICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,449,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,1195,404,REGION ICA-HOSPITAL SAN JUAN DE DIOS - PISCO,1,3,ALMACEN TRANSFERENCIA Y DONACIONES,4,NEA - DONACION,1,0,0,DIRESA -ICA  (SISMED),400 DIRECCION REGIONAL DE SALUD - ICA,03-MAR-20,3,MARZO,C,01,01,CON CONFORMIDAD,10-MAR-20,01,03-MAR-20,PECOSA N° 1474400 DIRECCION REGIONAL DE SALUD - ICACENTRO DE DISTRIBUCION (SISMED),B,58,PRODUCTOS FARMACÉUTICOS,48,MEDICAMENTOS PARA EL SISTEMA NERVIOSO CENTRAL:  ANTIPSICÓTICOS,69,FLUFENAZINA,4,FLUFENAZINA DECANOATO 25 mg/mL INY 1 mL,112,UNIDAD,328,SIN MARCA,50.0,4.0504,202.52
2020,ICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,449,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,1195,404,REGION ICA-HOSPITAL SAN JUAN DE DIOS - PISCO,1,3,ALMACEN TRANSFERENCIA Y DONACIONES,4,NEA - DONACION,1,0,0,DIRESA -ICA  (SISMED),400 DIRECCION REGIONAL DE SALUD - ICA,03-MAR-20,3,MARZO,C,01,01,CON CONFORMIDAD,10-MAR-20,01,03-MAR-20,PECOSA N° 1474400 DIRECCION REGIONAL DE SALUD - ICACENTRO DE DISTRIBUCION (SISMED),B,58,PRODUCTOS FARMACÉUTICOS,49,"MEDICAMENTOS PARA SIST.NERVIOSO CENTRAL:  SEDANTES, ANSIOLÍTICOS, ANTIDEPRESIVOS, HIPNÓTICOS Y OTROS",32,FLUOXETINA.,1,FLUOXETINA (COMO CLORHIDRATO) 20 mg TAB,112,UNIDAD,328,SIN MARCA,1500.0,0.04372,65.58
2020,ICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,449,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,1195,404,REGION ICA-HOSPITAL SAN JUAN DE DIOS - PISCO,1,3,ALMACEN TRANSFERENCIA Y DONACIONES,4,NEA - DONACION,1,0,0,DIRESA -ICA  (SISMED),400 DIRECCION REGIONAL DE SALUD - ICA,03-MAR-20,3,MARZO,C,01,01,CON CONFORMIDAD,10-MAR-20,01,03-MAR-20,PECOSA N° 1474400 DIRECCION REGIONAL DE SALUD - ICACENTRO DE DISTRIBUCION (SISMED),B,58,PRODUCTOS FARMACÉUTICOS,49,"MEDICAMENTOS PARA SIST.NERVIOSO CENTRAL:  SEDANTES, ANSIOLÍTICOS, ANTIDEPRESIVOS, HIPNÓTICOS Y OTROS",48,LITIO CARBONATO.,2,LITIO CARBONATO 300 mg TAB,112,UNIDAD,328,SIN MARCA,100.0,0.3311,33.11
2020,ICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,449,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,1195,404,REGION ICA-HOSPITAL SAN JUAN DE DIOS - PISCO,1,3,ALMACEN TRANSFERENCIA Y DONACIONES,4,NEA - DONACION,1,0,0,DIRESA -ICA  (SISMED),400 DIRECCION REGIONAL DE SALUD - ICA,03-MAR-20,3,MARZO,C,01,01,CON CONFORMIDAD,10-MAR-20,01,03-MAR-20,PECOSA N° 1474400 DIRECCION REGIONAL DE SALUD - ICACENTRO DE DISTRIBUCION (SISMED),B,58,PRODUCTOS FARMACÉUTICOS,48,MEDICAMENTOS PARA EL SISTEMA NERVIOSO CENTRAL:  ANTIPSICÓTICOS,9,RISPERIDONA,2,RISPERIDONA 2 mg TAB,112,UNIDAD,328,SIN MARCA,7000.0,0.034277,239.94
2020,ICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,449,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,1195,404,REGION ICA-HOSPITAL SAN JUAN DE DIOS - PISCO,1,3,ALMACEN TRANSFERENCIA Y DONACIONES,4,NEA - DONACION,1,0,0,DIRESA -ICA  (SISMED),400 DIRECCION REGIONAL DE SALUD - ICA,03-MAR-20,3,MARZO,C,01,01,CON CONFORMIDAD,10-MAR-20,01,03-MAR-20,PECOSA N° 1474400 DIRECCION REGIONAL DE SALUD - ICACENTRO DE DISTRIBUCION (SISMED),B,58,PRODUCTOS FARMACÉUTICOS,49,"MEDICAMENTOS PARA SIST.NERVIOSO CENTRAL:  SEDANTES, ANSIOLÍTICOS, ANTIDEPRESIVOS, HIPNÓTICOS Y OTROS",33,SERTRALINA_,3,SERTRALINA (COMO CLORHIDRATO) 50 mg TAB,112,UNIDAD,1184,SIN MARCA..,5000.0,0.062374,311.87
2020,ICA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,449,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,1195,404,REGION ICA-HOSPITAL SAN JUAN DE DIOS - PISCO,1,3,ALMACEN TRANSFERENCIA Y DONACIONES,4,NEA - DONACION,5,0,0,DIREC. REG. DE SALUD ICA CENTRO DE DISTRIBUCION (SISMED),DIRESA - ICACENTRO DE DISTRIBUCION (SISMED),03-MAR-20,3,MARZO,C,05,05,CON CONFORMIDAD,16-MAR-20,05,03-MAR-20,PECOSA N° 0001DIRECICION REGIONAL DE SALUD - ICACENTRO DE DISTRIBUCION (SSIMED),B,58,PRODUCTOS FARMACÉUTICOS,42,"INMUNOLÓGICOS:  SUEROS, INMUNOGLOBULINAS Y OTROS",7,SUERO ANTILOXOSCÉLICO.,2,SUERO ANTILOXOSCELICO 8 g/5 mL INY,112,UNIDAD,1185,SIN MARCA...,7.0,84.96,594.72
