ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,JUNIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,450,GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,1612,409,GOB. REG. DE JUNIN - RED DE SALUD PICHANAKI,1,1,ALMACEN HOSPITAL PICHANAKI,4,NEA - DONACION,1,0,0,"ESTHER SORIA AVELINO, JENY LEON FLORES, ESTHER NAVARRO FLORES",ACTA DE DONACION DE EQUIPO DE COMPUTO A LA RED DE SALUD PICHANAKI SERVICIO DE FARMACIA,09-AUG-20,8,AGOSTO,C,001,RESOLUCION 444,CON CONFORMIDAD,11-AUG-20,RESOLUCION DIRECTORAL Nº 444-2020-GRJ-DRSJ-RSPKI/D,09-AUG-20,CONFORME,B,74,OFICINA,8,CÓMPUTO,8187,MONITOR PLANO,1,MONITOR PLANO,112,UNIDAD,1148,HP,1.0,480.0,480.0
2020,JUNIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,450,GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,1612,409,GOB. REG. DE JUNIN - RED DE SALUD PICHANAKI,1,1,ALMACEN HOSPITAL PICHANAKI,4,NEA - DONACION,1,0,0,"ESTHER SORIA AVELINO, JENY LEON FLORES, ESTHER NAVARRO FLORES",ACTA DE DONACION DE EQUIPO DE COMPUTO A LA RED DE SALUD PICHANAKI SERVICIO DE FARMACIA,09-AUG-20,8,AGOSTO,C,001,RESOLUCION 444,CON CONFORMIDAD,11-AUG-20,RESOLUCION DIRECTORAL Nº 444-2020-GRJ-DRSJ-RSPKI/D,09-AUG-20,CONFORME,B,74,OFICINA,8,CÓMPUTO,9500,TECLADO - KEYBOARD,1,TECLADO - KEYBOARD,112,UNIDAD,142,GENIUS,1.0,70.0,70.0
2020,JUNIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,450,GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,1612,409,GOB. REG. DE JUNIN - RED DE SALUD PICHANAKI,1,1,ALMACEN HOSPITAL PICHANAKI,4,NEA - DONACION,1,0,0,"ESTHER SORIA AVELINO, JENY LEON FLORES, ESTHER NAVARRO FLORES",ACTA DE DONACION DE EQUIPO DE COMPUTO A LA RED DE SALUD PICHANAKI SERVICIO DE FARMACIA,09-AUG-20,8,AGOSTO,C,001,RESOLUCION 444,CON CONFORMIDAD,11-AUG-20,RESOLUCION DIRECTORAL Nº 444-2020-GRJ-DRSJ-RSPKI/D,09-AUG-20,CONFORME,B,74,OFICINA,8,CÓMPUTO,9950,UNIDAD CENTRAL DE PROCESO - CPU,1,UNIDAD CENTRAL DE PROCESO - CPU,112,UNIDAD,328,SIN MARCA,1.0,3170.0,3170.0
2020,JUNIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,450,GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,826,403,REGION JUNIN-SALUD JAUJA,1,5,ALMACEN SISMED ESPECIALIZADO,4,NEA - DONACION,1,0,0,ASOCIACION CIVIL SIN FINES DE LUCRO MARQ APUY SONRISAS SUYAY,ACTA DE ENTREGA,22-SEP-20,9,SEPTIEMBRE,C,17,ACTA,CON CONFORMIDAD,22-SEP-20,ACTA DE ENTREGA - RECEPCION,22-SEP-20,"DONACION DE MANDILONES, MASCARILLAS Y GUANTES",B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,1443,MANDILÓN DESCARTABLE,112,UNIDAD,2403,J&M,100.0,4.2,420.0
2020,JUNIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,450,GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,826,403,REGION JUNIN-SALUD JAUJA,1,5,ALMACEN SISMED ESPECIALIZADO,4,NEA - DONACION,1,0,0,ASOCIACION CIVIL SIN FINES DE LUCRO MARQ APUY SONRISAS SUYAY,ACTA DE ENTREGA,22-SEP-20,9,SEPTIEMBRE,C,17,ACTA,CON CONFORMIDAD,22-SEP-20,ACTA DE ENTREGA - RECEPCION,22-SEP-20,"DONACION DE MANDILONES, MASCARILLAS Y GUANTES",B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,28,GUANTES PARA EXAMEN DESCARTABLES (NO QUIRÚRGICOS),145,GUANTE PARA EXAMEN DESCARTABLE DE NITRILO SIN POLVO TALLA M,112,UNIDAD,2405,SAFARI,50.0,0.634135,31.7068
2020,JUNIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,450,GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,826,403,REGION JUNIN-SALUD JAUJA,1,5,ALMACEN SISMED ESPECIALIZADO,4,NEA - DONACION,1,0,0,ASOCIACION CIVIL SIN FINES DE LUCRO MARQ APUY SONRISAS SUYAY,ACTA DE ENTREGA,22-SEP-20,9,SEPTIEMBRE,C,17,ACTA,CON CONFORMIDAD,22-SEP-20,ACTA DE ENTREGA - RECEPCION,22-SEP-20,"DONACION DE MANDILONES, MASCARILLAS Y GUANTES",B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,41,MASCARILLAS  DESCARTABLES,76,MASCARILLA DESCARTABLE QUIRURGICA 3 PLIEGUES,112,UNIDAD,2404,MASK,50.0,0.9,45.0
2020,JUNIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,450,GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,826,403,REGION JUNIN-SALUD JAUJA,1,5,ALMACEN SISMED ESPECIALIZADO,4,NEA - DONACION,2,0,0,ACCION SOLIDARIA POR JAUJA,,30-SEP-20,9,SEPTIEMBRE,C,19,001,CON CONFORMIDAD,02-OCT-20,ACTA DE ENTREGA - RECEPCION,30-SEP-20,DONACION DE MANDILONES Y MAMELUCOS,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,1443,MANDILÓN DESCARTABLE,112,UNIDAD,2399,KCM,100.0,4.2,420.0
2020,JUNIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,450,GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,826,403,REGION JUNIN-SALUD JAUJA,1,5,ALMACEN SISMED ESPECIALIZADO,4,NEA - DONACION,2,0,0,ACCION SOLIDARIA POR JAUJA,,30-SEP-20,9,SEPTIEMBRE,C,19,001,CON CONFORMIDAD,02-OCT-20,ACTA DE ENTREGA - RECEPCION,30-SEP-20,DONACION DE MANDILONES Y MAMELUCOS,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,1262,MAMELUCO DESCARTABLE TALLA M,112,UNIDAD,2399,KCM,50.0,35.0,1750.0
2020,JUNIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,450,GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,826,403,REGION JUNIN-SALUD JAUJA,1,5,ALMACEN SISMED ESPECIALIZADO,4,NEA - DONACION,2,0,0,ACCION SOLIDARIA POR JAUJA,,30-SEP-20,9,SEPTIEMBRE,C,19,001,CON CONFORMIDAD,02-OCT-20,ACTA DE ENTREGA - RECEPCION,30-SEP-20,DONACION DE MANDILONES Y MAMELUCOS,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACIÓN",1,ROPA QUIRÚRGICA PARA PERSONAL MÉDICO Y PACIENTE,1261,MAMELUCO DESCARTABLE TALLA L,112,UNIDAD,2399,KCM,50.0,35.0,1750.0
2020,JUNIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,450,GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,826,403,REGION JUNIN-SALUD JAUJA,1,5,ALMACEN SISMED ESPECIALIZADO,4,NEA - DONACION,3,0,0,ASOCIACION INTERNACIONAL DE CLUB DE LEONES,DONACION DE LA ASOCIACION INTERNAICONAL DE CLUB DE LEONES,09-NOV-20,11,NOVIEMBRE,C,25,02-2020,CON CONFORMIDAD,09-NOV-20,CARTA N° 02-2020,09-NOV-20,DONACION DE LENTES DE PROTECCION VISUAL,B,51,"LABORATORIO Y GABINETE: IMPLEMENTOS, MATERIALES, REPUESTOS Y ACCESORIOS",20,LABORATORIO Y GABINETE: MATERIALES,28,OTROS MATERIALES DE USO EN LABORATORIO,1244,LENTES PROTECTORES DE POLICARBONATO,112,UNIDAD,328,SIN MARCA,100.0,0.01,1.0
