ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,LA LIBERTAD,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,451,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,848,403,REGION LA LIBERTAD-SALUD TRUJILLO SUR OESTE,1,1,ALMACEN DE FARMACIA,4,NEA - DONACION,14,0,0,MOVIMIENTO AVANZADA CATOLICA,INFORME N°026-2020-GRLL-GGR/GS-HBT-OL-ACP,23-JUN-20,6,JUNIO,C,014,014,CON CONFORMIDAD,02-JUL-20,014,02-JUL-20,MEDICINAS,B,83,"ANIMALES, VETERINARIA, GANADERÍA, PESCA Y PISCICULTURA",97,VETERINARIA: MEDICAMENTOS,2,ANTIPARASITARIOS PARA MEDICINA VETERINARIA,19,IVERMECTINA 1 g/100 mL SOL INY 20 mL,112,UNIDAD,328,SIN MARCA,319.0,60.0,19140.0
2020,LA LIBERTAD,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,451,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,1282,410,R.LA LIBERTAD- INST. REG.ENFERMEDADES NEOPLASICAS LUIS PINILLOS GANOZA - INREN-NORTE,1,3,ALMACEN SERVICIO Y MANTENIMIENTO GENERAL,4,NEA - DONACION,1,0,0,ALIANZA DE APOYO AL INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS NORTE ,Donacion de ALIANZA DE APOYO AL IREN  NORTE.,27-JUL-20,7,JULIO,C,052,027-20,CON CONFORMIDAD,03-AUG-20,027-2020,27-JUL-20,DSIPENSADORES,B,64,ENSERES Y ACCESORIOS  :  INCLUYE AULAS Y TALLERES,61,ENSERES Y ACCESORIOS  DE MATERIAL SINTÉTICO,5,OTROS ENSERES Y ACCESORIOS DE MATERIAL SINTÉTICO,148,DISPENSADOR DE PAPEL HIGIENICO DE MATERIAL PLASTICO,112,UNIDAD,328,SIN MARCA,10.0,42.9,429.0
2020,LA LIBERTAD,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,451,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,1282,410,R.LA LIBERTAD- INST. REG.ENFERMEDADES NEOPLASICAS LUIS PINILLOS GANOZA - INREN-NORTE,1,3,ALMACEN SERVICIO Y MANTENIMIENTO GENERAL,4,NEA - DONACION,1,0,0,ALIANZA DE APOYO AL INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS NORTE ,Donacion de ALIANZA DE APOYO AL IREN  NORTE.,27-JUL-20,7,JULIO,C,052,027-20,CON CONFORMIDAD,03-AUG-20,027-2020,27-JUL-20,DSIPENSADORES,B,64,ENSERES Y ACCESORIOS  :  INCLUYE AULAS Y TALLERES,61,ENSERES Y ACCESORIOS  DE MATERIAL SINTÉTICO,5,OTROS ENSERES Y ACCESORIOS DE MATERIAL SINTÉTICO,3,DISPENSADOR DE PAPEL TOALLA (MATERIAL PLASTICO),112,UNIDAD,328,SIN MARCA,2.0,129.9,259.8
2020,LA LIBERTAD,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,451,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,1282,410,R.LA LIBERTAD- INST. REG.ENFERMEDADES NEOPLASICAS LUIS PINILLOS GANOZA - INREN-NORTE,1,3,ALMACEN SERVICIO Y MANTENIMIENTO GENERAL,4,NEA - DONACION,1,0,0,ALIANZA DE APOYO AL INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS NORTE ,Donacion de ALIANZA DE APOYO AL IREN  NORTE.,27-JUL-20,7,JULIO,C,052,027-20,CON CONFORMIDAD,03-AUG-20,027-2020,27-JUL-20,DSIPENSADORES,B,64,ENSERES Y ACCESORIOS  :  INCLUYE AULAS Y TALLERES,61,ENSERES Y ACCESORIOS  DE MATERIAL SINTÉTICO,5,OTROS ENSERES Y ACCESORIOS DE MATERIAL SINTÉTICO,1,DISPENSADOR DE JABON LIQUIDO (MATERIAL PLASTICO),112,UNIDAD,328,SIN MARCA,9.0,39.9,359.1
2020,LA LIBERTAD,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,451,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,1282,410,R.LA LIBERTAD- INST. REG.ENFERMEDADES NEOPLASICAS LUIS PINILLOS GANOZA - INREN-NORTE,1,3,ALMACEN SERVICIO Y MANTENIMIENTO GENERAL,4,NEA - DONACION,3,0,0,VALLEJOS TAPIA NOEL ,DONACION DEL SR NOEL VALLEJOS TAPIA,02-NOV-20,11,NOVIEMBRE,C,0115,R.ADM.005-20,CON CONFORMIDAD,23-NOV-20,R.ADM.N°0115,02-NOV-20,MATERIAL DE MANTENIMIENTO.,B,19,COMUNICACIONES Y TELECOMUNICACIONES: REPUESTOS Y ACCESORIOS,92,TELEFONÍA Y TELEGRAFÍA: REPUESTOS Y ACCESORIOS,5,OTROS RPTOS. Y ACCESORIOS PARA TELEFONÍA Y/O TELEGRAFÍA,309,PROBADOR BIX DE COBRE CON CONECTOR SALIDA TIPO COCODRILO,112,UNIDAD,328,SIN MARCA,1.0,29.66,29.66
2020,LA LIBERTAD,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,451,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,1282,410,R.LA LIBERTAD- INST. REG.ENFERMEDADES NEOPLASICAS LUIS PINILLOS GANOZA - INREN-NORTE,1,3,ALMACEN SERVICIO Y MANTENIMIENTO GENERAL,4,NEA - DONACION,3,0,0,VALLEJOS TAPIA NOEL ,DONACION DEL SR NOEL VALLEJOS TAPIA,02-NOV-20,11,NOVIEMBRE,C,0115,R.ADM.005-20,CON CONFORMIDAD,23-NOV-20,R.ADM.N°0115,02-NOV-20,MATERIAL DE MANTENIMIENTO.,B,41,"HERRAMIENTAS  MANUALES, MECÁNICAS, NEUMÁTICAS, HIDRÁULICAS: INCLUYE  ACCESORIOS",95,HERRAMIENTAS NIVELADORAS,2,NIVELES,5,NIVEL DE ALUMINIO 12 in,112,UNIDAD,328,SIN MARCA,1.0,32.2,32.2
2020,LA LIBERTAD,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,451,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,1282,410,R.LA LIBERTAD- INST. REG.ENFERMEDADES NEOPLASICAS LUIS PINILLOS GANOZA - INREN-NORTE,1,3,ALMACEN SERVICIO Y MANTENIMIENTO GENERAL,4,NEA - DONACION,3,0,0,VALLEJOS TAPIA NOEL ,DONACION DEL SR NOEL VALLEJOS TAPIA,02-NOV-20,11,NOVIEMBRE,C,0115,R.ADM.005-20,CON CONFORMIDAD,23-NOV-20,R.ADM.N°0115,02-NOV-20,MATERIAL DE MANTENIMIENTO.,B,41,"HERRAMIENTAS  MANUALES, MECÁNICAS, NEUMÁTICAS, HIDRÁULICAS: INCLUYE  ACCESORIOS",92,REPUESTOS Y ACCESORIOS PARA HERRAMIENTAS,2,ACCESORIOS PARA HERRAMIENTAS,201,JUEGO DE BROCAS PARA TALADRO X 7 PIEZAS,112,UNIDAD,328,SIN MARCA,2.0,38.135,76.27
2020,LA LIBERTAD,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,451,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,1282,410,R.LA LIBERTAD- INST. REG.ENFERMEDADES NEOPLASICAS LUIS PINILLOS GANOZA - INREN-NORTE,1,3,ALMACEN SERVICIO Y MANTENIMIENTO GENERAL,4,NEA - DONACION,3,0,0,VALLEJOS TAPIA NOEL ,DONACION DEL SR NOEL VALLEJOS TAPIA,02-NOV-20,11,NOVIEMBRE,C,0115,R.ADM.005-20,CON CONFORMIDAD,23-NOV-20,R.ADM.N°0115,02-NOV-20,MATERIAL DE MANTENIMIENTO.,B,2,ABRASIVOS,29,DISCOS DE DESBASTE O RECTIFICADORES,5,BROCAS,765,JUEGO DE BROCAS PARA CONCRETO X 6 PIEZAS,112,UNIDAD,328,SIN MARCA,2.0,29.66,59.32
2020,LA LIBERTAD,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,451,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,1282,410,R.LA LIBERTAD- INST. REG.ENFERMEDADES NEOPLASICAS LUIS PINILLOS GANOZA - INREN-NORTE,1,3,ALMACEN SERVICIO Y MANTENIMIENTO GENERAL,4,NEA - DONACION,3,0,0,VALLEJOS TAPIA NOEL ,DONACION DEL SR NOEL VALLEJOS TAPIA,02-NOV-20,11,NOVIEMBRE,C,0115,R.ADM.005-20,CON CONFORMIDAD,23-NOV-20,R.ADM.N°0115,02-NOV-20,MATERIAL DE MANTENIMIENTO.,B,41,"HERRAMIENTAS  MANUALES, MECÁNICAS, NEUMÁTICAS, HIDRÁULICAS: INCLUYE  ACCESORIOS",90,"PINZAS, ALICATES Y AFINES",1,ALICATES,223,ALICATE PELACABLE AUTOMATICO AJUSTABLE 8 in CON MANGO AISLADO,112,UNIDAD,328,SIN MARCA,2.0,50.845,101.69
2020,LA LIBERTAD,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,451,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,1282,410,R.LA LIBERTAD- INST. REG.ENFERMEDADES NEOPLASICAS LUIS PINILLOS GANOZA - INREN-NORTE,1,3,ALMACEN SERVICIO Y MANTENIMIENTO GENERAL,4,NEA - DONACION,3,0,0,VALLEJOS TAPIA NOEL ,DONACION DEL SR NOEL VALLEJOS TAPIA,02-NOV-20,11,NOVIEMBRE,C,0115,R.ADM.005-20,CON CONFORMIDAD,23-NOV-20,R.ADM.N°0115,02-NOV-20,MATERIAL DE MANTENIMIENTO.,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",51,INSTRUMENTAL MÉDICO QUIRURGICO,13,SET DE INSTRUMENTAL Y OTROS INSTRUMENTALES,682,DESTORNILLADOR HEXAGONAL 4.5 cm ,112,UNIDAD,328,SIN MARCA,1.0,21.18,21.18
