ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,MADRE DE DIOS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,454,GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,1003,401,REGION MADRE DE DIOS-HOSPITAL SANTA ROSA DE PUERTO MALDONADO,1,0,ALMACEN GENERAL,4,NEA - DONACION,1,0,0,ADMINISTRACION CENTRAL - MINSA,INDRESOBIENES DONACION SEGUN RD N°156-2020-GOREMAD/HSR-PM/MEMO N°53-2020-GOREMAD/HSRPM-OA/UL,20-AUG-20,8,AGOSTO,C,PECOSA1535,RD N°156-2020,CON CONFORMIDAD,20-AUG-20,RD N°156-2020-GOREMAD/HSR-PM/MEMO N°53-2020-GOREMA,20-AUG-20,INDRESO BIENES DONACION SEGUN RESOLUCION DIRECTORAL N°156-2020-GOREMAD/HSR-PM/MEMORANDO N°53-2020-GOREMAD/HSRPM-OA/UL - PECOSA MINISTERIO DE SALUD N°1535,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",70,ACCESORIOS PARA USO MÉDICOS,8,BALONES PARA GASES MEDICINALES,14,BALÓN PARA OXÍGENO MEDICINAL 6 m3,112,UNIDAD,656,NACIONAL,50.0,1210.0,60500.0
2020,MADRE DE DIOS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,454,GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,1003,401,REGION MADRE DE DIOS-HOSPITAL SANTA ROSA DE PUERTO MALDONADO,1,0,ALMACEN GENERAL,4,NEA - DONACION,2,0,0,ADMINISTRACION CENTRAL - MINSA,INDRESO BIENES DONACION SEGUN RD N°156-2020-GOREMAD/HSR-PM/MEMO N°53-2020-GOREMAD/HSRPM-OA/UL,20-AUG-20,8,AGOSTO,C,PECOSA1500,RD N°156-2020,CON CONFORMIDAD,20-AUG-20,RD N°156-2020-GOREMAD/HSR-PM/MEMO N°53-2020-GOREMA,20-AUG-20,INDRESO BIENES DONACION SEGUN RESOLUCION DIRECTORAL N°156-2020-GOREMAD/HSR-PM/MEMORANDO N°53-2020-GOREMAD/HSRPM-OA/UL - PECOSA MINISTERIO DE SALUD N°1500,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,9845,VENTILADOR PULMONAR,1,VENTILADOR PULMONAR,112,UNIDAD,1251,AEONMED,1.0,80000.0,80000.0
2020,MADRE DE DIOS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,454,GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,1003,401,REGION MADRE DE DIOS-HOSPITAL SANTA ROSA DE PUERTO MALDONADO,1,0,ALMACEN GENERAL,4,NEA - DONACION,2,0,0,ADMINISTRACION CENTRAL - MINSA,INDRESO BIENES DONACION SEGUN RD N°156-2020-GOREMAD/HSR-PM/MEMO N°53-2020-GOREMAD/HSRPM-OA/UL,20-AUG-20,8,AGOSTO,C,PECOSA1500,RD N°156-2020,CON CONFORMIDAD,20-AUG-20,RD N°156-2020-GOREMAD/HSR-PM/MEMO N°53-2020-GOREMA,20-AUG-20,INDRESO BIENES DONACION SEGUN RESOLUCION DIRECTORAL N°156-2020-GOREMAD/HSR-PM/MEMORANDO N°53-2020-GOREMAD/HSRPM-OA/UL - PECOSA MINISTERIO DE SALUD N°1500,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,9845,VENTILADOR PULMONAR,2,VENTILADOR PULMONAR DE TRANSPORTE,112,UNIDAD,1301,ZOLL,2.0,30000.0,60000.0
2020,MADRE DE DIOS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,454,GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,1003,401,REGION MADRE DE DIOS-HOSPITAL SANTA ROSA DE PUERTO MALDONADO,1,0,ALMACEN GENERAL,4,NEA - DONACION,2,0,0,ADMINISTRACION CENTRAL - MINSA,INDRESO BIENES DONACION SEGUN RD N°156-2020-GOREMAD/HSR-PM/MEMO N°53-2020-GOREMAD/HSRPM-OA/UL,20-AUG-20,8,AGOSTO,C,PECOSA1500,RD N°156-2020,CON CONFORMIDAD,20-AUG-20,RD N°156-2020-GOREMAD/HSR-PM/MEMO N°53-2020-GOREMA,20-AUG-20,INDRESO BIENES DONACION SEGUN RESOLUCION DIRECTORAL N°156-2020-GOREMAD/HSR-PM/MEMORANDO N°53-2020-GOREMAD/HSRPM-OA/UL - PECOSA MINISTERIO DE SALUD N°1500,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,812,ASPIRADORA DE SECRECIONES,9,ASPIRADORA DE SECRECIONES,112,UNIDAD,2744,JIANGSU KELING,2.0,6000.0,12000.0
2020,MADRE DE DIOS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,454,GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,1003,401,REGION MADRE DE DIOS-HOSPITAL SANTA ROSA DE PUERTO MALDONADO,1,0,ALMACEN GENERAL,4,NEA - DONACION,3,0,0,ADMINISTRACION CENTRAL - MINSA,INDRESO BIENES DONACION SEGUN RD N°156-2020-GOREMAD/HSR-PM/MEMO N°53-2020-GOREMAD/HSRPM-OA/UL,20-AUG-20,8,AGOSTO,C,PECOSA1538,RD N°156-2020,CON CONFORMIDAD,20-AUG-20,RD N°156-2020-GOREMAD/HSR-PM/MEMO N°53-2020-GOREMA,20-AUG-20,INDRESO BIENES DONACION SEGUN RESOLUCION DIRECTORAL N°156-2020-GOREMAD/HSR-PM/MEMORANDO N°53-2020-GOREMAD/HSRPM-OA/UL - PECOSA MINISTERIO DE SALUD N°1538,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,9855,VENTILADOR VOLUMÉTRICO,1,VENTILADOR VOLUMETRICO,112,UNIDAD,2745,NORTHERN MEDITEC,2.0,43000.0,86000.0
2020,MADRE DE DIOS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,454,GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,1003,401,REGION MADRE DE DIOS-HOSPITAL SANTA ROSA DE PUERTO MALDONADO,1,0,ALMACEN GENERAL,4,NEA - DONACION,4,0,0,ADMINISTRACION CENTRAL - MINSA,INDRESO BIENES DONACION-RD N°182-2020-GOREMAD/HSR-PM/MEMO N°70-2020-GOREMAD/HSRPM-OA/UL-PECOSA1743,23-SEP-20,9,SEPTIEMBRE,C,PECOSA1743,R.D.N°182-2020,CON CONFORMIDAD,23-SEP-20,RD N°182-2020-GOREMAD/HSR-PM/MEMO N°70-2020-GOREMA,23-SEP-20,INGRESO BIENES DONACION-RESOLUCION DIRECTORAL N°182-2020-GOREMAD/HSR-PM/MEMORANDO N°70-2020-GOREMAD/HSRPM-OA/UL-PECOSA N°1743-MINISTERIO DE SALUD,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",70,ACCESORIOS PARA USO MÉDICOS,8,BALONES PARA GASES MEDICINALES,18,BALÓN PARA OXÍGENO MEDICINAL 10 m3,112,UNIDAD,656,NACIONAL,20.0,1700.0,34000.0
2020,MADRE DE DIOS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,454,GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,1003,401,REGION MADRE DE DIOS-HOSPITAL SANTA ROSA DE PUERTO MALDONADO,1,0,ALMACEN GENERAL,4,NEA - DONACION,5,0,0,ADMINISTRACION CENTRAL - MINSA,INDRESO BIENES DONACION-RDN°183-2020-GOREMAD/HSR-PM/MEMO N°70-2020-GOREMAD/HSRPM-OA/UL-PECOSA1669 MS,23-SEP-20,9,SEPTIEMBRE,C,PECOSA1669,RD N°183-2020,CON CONFORMIDAD,23-SEP-20,RD N°183-2020-GOREMAD/HSR-PM/MEMO N°70-2020-GOREMA,23-SEP-20,INGRESO BIENES DONACION-RESOLUCION DIRECTORAL N°183-2020-GOREMAD/HSR-PM/MEMORANDO N°70-2020-GOREMAD/HSRPM-OA/UL-PECOSA N°1669-MINISTERIO DE SALUD,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,8197,MONITOR MULTI PARÁMETRO,34,MONITOR MULTI PARAMETRO ADULTO PORTATIL,112,UNIDAD,846,DRAGER,8.0,59900.0,479200.0
2020,MADRE DE DIOS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,454,GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,1003,401,REGION MADRE DE DIOS-HOSPITAL SANTA ROSA DE PUERTO MALDONADO,1,0,ALMACEN GENERAL,4,NEA - DONACION,6,0,0,ADMINISTRACION CENTRAL - MINSA,INGRESO BIENES DONACION-RDN°277-2020-GOREMAD/HSR-PM/MEMO N°95-2020-GOREMAD/HSRPM-OA/UL-PECOSA1596,17-DEC-20,12,DICIEMBRE,C,PECOSA1596,RD N°277-2020,CON CONFORMIDAD,17-DEC-20,PECOSA N°1596-RESOLUCION DIRECTORAL N°277-2020-GOR,17-DEC-20,RESOLUCION DIRECTORAL N°277-2020-GOREMAD/HSR-PM/MEMORANDO N°095-2020-GOREMAD/HSRPM-OA/UL-PECOSA N°1596 MINISTERIO DE SALUD,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,9855,VENTILADOR VOLUMÉTRICO,1,VENTILADOR VOLUMETRICO,112,UNIDAD,2745,NORTHERN MEDITEC,5.0,1000.0,5000.0
2020,MADRE DE DIOS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,454,GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,1003,401,REGION MADRE DE DIOS-HOSPITAL SANTA ROSA DE PUERTO MALDONADO,1,0,ALMACEN GENERAL,4,NEA - DONACION,6,0,0,ADMINISTRACION CENTRAL - MINSA,INGRESO BIENES DONACION-RDN°277-2020-GOREMAD/HSR-PM/MEMO N°95-2020-GOREMAD/HSRPM-OA/UL-PECOSA1596,17-DEC-20,12,DICIEMBRE,C,PECOSA1596,RD N°277-2020,CON CONFORMIDAD,17-DEC-20,PECOSA N°1596-RESOLUCION DIRECTORAL N°277-2020-GOR,17-DEC-20,RESOLUCION DIRECTORAL N°277-2020-GOREMAD/HSR-PM/MEMORANDO N°095-2020-GOREMAD/HSRPM-OA/UL-PECOSA N°1596 MINISTERIO DE SALUD,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,9845,VENTILADOR PULMONAR,1,VENTILADOR PULMONAR,112,UNIDAD,1301,ZOLL,3.0,1000.0,3000.0
2020,MADRE DE DIOS,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,454,GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,1003,401,REGION MADRE DE DIOS-HOSPITAL SANTA ROSA DE PUERTO MALDONADO,1,0,ALMACEN GENERAL,4,NEA - DONACION,7,0,0,ADMINISTRACION CENTRAL - MINSA,INGRESO BIENES DONACION-RDN°278-2020-GOREMAD/HSR-PM/MEMO N°095-2020-GOREMAD/HSRPM-OA/UL-PECOSA N°125,17-DEC-20,12,DICIEMBRE,C,PECOSA1250,RDN°278-2020,CON CONFORMIDAD,18-DEC-20,PECOSA N°1250-RESOLUCION DIRECTORAL N°278-2020-GOR,18-DEC-20,RESOLUCION DIRECTORAL N°278-2020-GOREMAD/HSR-PM/MEMORANDO N°095-2020-GOREMAD/HSRPM-OA/UL-PECOSA N°1250 MINISTERIO DE SALUD,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,3001,DESFIBRILADOR,1,DESFIBRILADOR,112,UNIDAD,1890,PHILLIPS,1.0,1000.0,1000.0
