ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,PIURA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,457,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,899,400,REGION PIURA-SALUD,1,16,INTENDENCIA NACIONAL - ADUANAS PAITA,4,NEA - DONACION,4,0,0,SUNAT,ACTA DE ENTREGA N° 046312020-00024SUNAT -  ADUANAS,06-JUN-20,6,JUNIO,C,176-2020,A/R N° 662-2020,CON CONFORMIDAD,09-JUL-20,A/R N° 662-2020,06-JUN-20,PRODUCTOS FARMACEUTICOS,B,58,PRODUCTOS FARMACÉUTICOS,6,MEDICAMENTOS ANTIINFECCIOSOS: ANTIHELMÍNTICOS ,9,IVERMECTINA.,1,IVERMECTINA 6 mg TAB,112,UNIDAD,4139,IVERMIN,507.0,28.805,14604.14
2020,PIURA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,457,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,899,400,REGION PIURA-SALUD,1,16,INTENDENCIA NACIONAL - ADUANAS PAITA,4,NEA - DONACION,5,0,0,SUNAT,ACTA DE ENTREGA N° 046312020-000067FECHA DE INGRESO: 03.07.2020,03-AUG-20,8,AGOSTO,C,249-2020,A/R N° 815-2020,CON CONFORMIDAD,09-SEP-20,A/R N° 815-2020,03-AUG-20,PRODUCTOS FARMACEUTICOS,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",51,INSTRUMENTAL MÉDICO QUIRURGICO,10,TERMÓMETRO DE USO MÉDICO,27,TERMOMETRO DIGITAL INFRAROJO TIMPANICO,112,UNIDAD,4219,CSY,70.0,183.6,12852.0
2020,PIURA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,457,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,899,400,REGION PIURA-SALUD,1,16,INTENDENCIA NACIONAL - ADUANAS PAITA,4,NEA - DONACION,5,0,0,SUNAT,ACTA DE ENTREGA N° 046312020-000067FECHA DE INGRESO: 03.07.2020,03-AUG-20,8,AGOSTO,C,249-2020,A/R N° 815-2020,CON CONFORMIDAD,09-SEP-20,A/R N° 815-2020,03-AUG-20,PRODUCTOS FARMACEUTICOS,B,58,PRODUCTOS FARMACÉUTICOS,6,MEDICAMENTOS ANTIINFECCIOSOS: ANTIHELMÍNTICOS ,9,IVERMECTINA.,2,IVERMECTINA 6 mg/mL SOL 5 mL,112,UNIDAD,4139,IVERMIN,197.0,4.939187,973.02
2020,PIURA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,457,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,899,400,REGION PIURA-SALUD,1,16,INTENDENCIA NACIONAL - ADUANAS PAITA,4,NEA - DONACION,6,0,0,SUNAT,ACTA DE ENTREGA 046312020-00070SUNAT ADUANASF.INGRESO: 03.07.2020,31-AUG-20,8,AGOSTO,C,250-2020,A/R N° 816-2020,CON CONFORMIDAD,16-SEP-20,A/R N° 816-2020,30-AUG-20,"ARICULOS DE ASEO, LIMPIEZA,TOCADOR",B,13,"ASEO, LIMPIEZA Y TOCADOR  :   REPUESTOS, ACCESORIOS, ÚTILES Y MATERIALES",92,TOCADOR Y COSMETOLOGÍA: MATERIALES,20,OTROS MATERIALES DE COSMETOLOGÍA,110,BASE PARA MAQUILLAJE LIQUIDA X 30 mL APROX.,112,UNIDAD,1159,SIN  MARCA,12.0,29.77,357.24
2020,PIURA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,457,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,899,400,REGION PIURA-SALUD,1,16,INTENDENCIA NACIONAL - ADUANAS PAITA,4,NEA - DONACION,6,0,0,SUNAT,ACTA DE ENTREGA 046312020-00070SUNAT ADUANASF.INGRESO: 03.07.2020,31-AUG-20,8,AGOSTO,C,250-2020,A/R N° 816-2020,CON CONFORMIDAD,16-SEP-20,A/R N° 816-2020,30-AUG-20,"ARICULOS DE ASEO, LIMPIEZA,TOCADOR",B,13,"ASEO, LIMPIEZA Y TOCADOR  :   REPUESTOS, ACCESORIOS, ÚTILES Y MATERIALES",92,TOCADOR Y COSMETOLOGÍA: MATERIALES,23,CREMAS PARA USO EN COSMETOLOGÍA,61,CREMA FACIAL X 15 g,112,UNIDAD,1172,SIN MARCA-,3.0,27.75,83.25
2020,PIURA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,457,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,899,400,REGION PIURA-SALUD,1,16,INTENDENCIA NACIONAL - ADUANAS PAITA,4,NEA - DONACION,6,0,0,SUNAT,ACTA DE ENTREGA 046312020-00070SUNAT ADUANASF.INGRESO: 03.07.2020,31-AUG-20,8,AGOSTO,C,250-2020,A/R N° 816-2020,CON CONFORMIDAD,16-SEP-20,A/R N° 816-2020,30-AUG-20,"ARICULOS DE ASEO, LIMPIEZA,TOCADOR",B,13,"ASEO, LIMPIEZA Y TOCADOR  :   REPUESTOS, ACCESORIOS, ÚTILES Y MATERIALES",92,TOCADOR Y COSMETOLOGÍA: MATERIALES,49,DELINEADORES,1,LAPIZ DELINEADOR DE OJOS,112,UNIDAD,1149,SIN MARCA ...,3.0,13.78,41.34
2020,PIURA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,457,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,899,400,REGION PIURA-SALUD,1,16,INTENDENCIA NACIONAL - ADUANAS PAITA,4,NEA - DONACION,6,0,0,SUNAT,ACTA DE ENTREGA 046312020-00070SUNAT ADUANASF.INGRESO: 03.07.2020,31-AUG-20,8,AGOSTO,C,250-2020,A/R N° 816-2020,CON CONFORMIDAD,16-SEP-20,A/R N° 816-2020,30-AUG-20,"ARICULOS DE ASEO, LIMPIEZA,TOCADOR",B,13,"ASEO, LIMPIEZA Y TOCADOR  :   REPUESTOS, ACCESORIOS, ÚTILES Y MATERIALES",92,TOCADOR Y COSMETOLOGÍA: MATERIALES,49,DELINEADORES,17,LAPIZ DELINEADOR INDELEBLE DE OJOS X 1.2 g,112,UNIDAD,1169,SIN MARCA .,3.0,23.79,71.37
2020,PIURA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,457,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,899,400,REGION PIURA-SALUD,1,16,INTENDENCIA NACIONAL - ADUANAS PAITA,4,NEA - DONACION,6,0,0,SUNAT,ACTA DE ENTREGA 046312020-00070SUNAT ADUANASF.INGRESO: 03.07.2020,31-AUG-20,8,AGOSTO,C,250-2020,A/R N° 816-2020,CON CONFORMIDAD,16-SEP-20,A/R N° 816-2020,30-AUG-20,"ARICULOS DE ASEO, LIMPIEZA,TOCADOR",B,13,"ASEO, LIMPIEZA Y TOCADOR  :   REPUESTOS, ACCESORIOS, ÚTILES Y MATERIALES",92,TOCADOR Y COSMETOLOGÍA: MATERIALES,10,JABONES PARA MANOS Y CUERPO,145,JABON DE TOCADOR EN BARRA X 200 g,112,UNIDAD,1042,SIN MARCA.,3.0,19.32,57.96
2020,PIURA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,457,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,899,400,REGION PIURA-SALUD,1,16,INTENDENCIA NACIONAL - ADUANAS PAITA,4,NEA - DONACION,6,0,0,SUNAT,ACTA DE ENTREGA 046312020-00070SUNAT ADUANASF.INGRESO: 03.07.2020,31-AUG-20,8,AGOSTO,C,250-2020,A/R N° 816-2020,CON CONFORMIDAD,16-SEP-20,A/R N° 816-2020,30-AUG-20,"ARICULOS DE ASEO, LIMPIEZA,TOCADOR",B,13,"ASEO, LIMPIEZA Y TOCADOR  :   REPUESTOS, ACCESORIOS, ÚTILES Y MATERIALES",92,TOCADOR Y COSMETOLOGÍA: MATERIALES,7,DESODORANTES PARA USO PERSONAL,42,DESODORANTE ROLL ON X 50 mL,112,UNIDAD,3002,SIN MARCA+,2.0,66.66,133.32
2020,PIURA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,457,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,899,400,REGION PIURA-SALUD,1,16,INTENDENCIA NACIONAL - ADUANAS PAITA,4,NEA - DONACION,6,0,0,SUNAT,ACTA DE ENTREGA 046312020-00070SUNAT ADUANASF.INGRESO: 03.07.2020,31-AUG-20,8,AGOSTO,C,250-2020,A/R N° 816-2020,CON CONFORMIDAD,16-SEP-20,A/R N° 816-2020,30-AUG-20,"ARICULOS DE ASEO, LIMPIEZA,TOCADOR",B,13,"ASEO, LIMPIEZA Y TOCADOR  :   REPUESTOS, ACCESORIOS, ÚTILES Y MATERIALES",92,TOCADOR Y COSMETOLOGÍA: MATERIALES,23,CREMAS PARA USO EN COSMETOLOGÍA,54,CREMA HUMECTANTE FACIAL X 80 g,112,UNIDAD,1159,SIN  MARCA,2.0,49.59,99.18
2020,PIURA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,457,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,899,400,REGION PIURA-SALUD,1,16,INTENDENCIA NACIONAL - ADUANAS PAITA,4,NEA - DONACION,6,0,0,SUNAT,ACTA DE ENTREGA 046312020-00070SUNAT ADUANASF.INGRESO: 03.07.2020,31-AUG-20,8,AGOSTO,C,250-2020,A/R N° 816-2020,CON CONFORMIDAD,16-SEP-20,A/R N° 816-2020,30-AUG-20,"ARICULOS DE ASEO, LIMPIEZA,TOCADOR",B,13,"ASEO, LIMPIEZA Y TOCADOR  :   REPUESTOS, ACCESORIOS, ÚTILES Y MATERIALES",92,TOCADOR Y COSMETOLOGÍA: MATERIALES,23,CREMAS PARA USO EN COSMETOLOGÍA,84,CREMA CORPORAL HUMECTANTE X 150 mL,112,UNIDAD,328,SIN MARCA,1.0,27.75,27.75
2020,PIURA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,457,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,899,400,REGION PIURA-SALUD,1,16,INTENDENCIA NACIONAL - ADUANAS PAITA,4,NEA - DONACION,6,0,0,SUNAT,ACTA DE ENTREGA 046312020-00070SUNAT ADUANASF.INGRESO: 03.07.2020,31-AUG-20,8,AGOSTO,C,250-2020,A/R N° 816-2020,CON CONFORMIDAD,16-SEP-20,A/R N° 816-2020,30-AUG-20,"ARICULOS DE ASEO, LIMPIEZA,TOCADOR",B,13,"ASEO, LIMPIEZA Y TOCADOR  :   REPUESTOS, ACCESORIOS, ÚTILES Y MATERIALES",92,TOCADOR Y COSMETOLOGÍA: MATERIALES,23,CREMAS PARA USO EN COSMETOLOGÍA,129,CREMA DE LIMPIEZA FACIAL X 100 mL,112,UNIDAD,3003,SIN MARCA &,5.0,69.45,347.25
