ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,PUNO,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,458,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,915,401,REGION PUNO-SALUD MELGAR,1,2,ALMACEN REMESAS,4,NEA - DONACION,45,0,0,DIRESA PUNO.,PECOSA N°: 000416-2020-DIRESA PUNO.,30-OCT-20,10,OCTUBRE,C,NEA 00026,PECOSA N°: 416,CON CONFORMIDAD,05-NOV-20,NEA 00026-2020.,05-NOV-20,NEA 00026-2020.,B,58,PRODUCTOS FARMACÉUTICOS,59,MEDICAMENTOS QUE ACTÚAN SOBRE EL SISTEMA GENITOURINARIO Y HORMONAS SEXUALES ASOCIADAS,47,ESTRADIOL + MEDROXIPROGESTERONA,3,ESTRADIOL CIPIONATO + MEDROXIPROGESTERONA ACETATO 5 mg + 25 mg/0.5 mL INY 0.5 mL,112,UNIDAD,328,SIN MARCA,27.0,8.5,229.5
2020,PUNO,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,458,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,915,401,REGION PUNO-SALUD MELGAR,1,2,ALMACEN REMESAS,4,NEA - DONACION,45,0,0,DIRESA PUNO.,PECOSA N°: 000416-2020-DIRESA PUNO.,30-OCT-20,10,OCTUBRE,C,NEA 00026,PECOSA N°: 416,CON CONFORMIDAD,05-NOV-20,NEA 00026-2020.,05-NOV-20,NEA 00026-2020.,B,58,PRODUCTOS FARMACÉUTICOS,39,"HORMONAS Y ANTAGONISTAS HORM: ESTROG, PROGEST, ANTICONC.INTERN, HORM GONAD. Y ESTIM E INH OVAR OTROS",12,ETONOGESTREL,1,ETONOGESTREL 68 mg IMPLANTE,112,UNIDAD,328,SIN MARCA,30.0,60.457775,1813.73
2020,PUNO,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,458,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,915,401,REGION PUNO-SALUD MELGAR,1,2,ALMACEN REMESAS,4,NEA - DONACION,45,0,0,DIRESA PUNO.,PECOSA N°: 000416-2020-DIRESA PUNO.,30-OCT-20,10,OCTUBRE,C,NEA 00026,PECOSA N°: 416,CON CONFORMIDAD,05-NOV-20,NEA 00026-2020.,05-NOV-20,NEA 00026-2020.,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,35,JERINGAS DESCARTABLES,21,JERINGA DESCARTABLE 3 mL CON AGUJA 21 G X 1 1/2 in,112,UNIDAD,1025,SIN MARCA-,27.0,0.1494,4.03
2020,PUNO,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,458,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,915,401,REGION PUNO-SALUD MELGAR,1,2,ALMACEN REMESAS,4,NEA - DONACION,45,0,0,DIRESA PUNO.,PECOSA N°: 000416-2020-DIRESA PUNO.,30-OCT-20,10,OCTUBRE,C,NEA 00026,PECOSA N°: 416,CON CONFORMIDAD,05-NOV-20,NEA 00026-2020.,05-NOV-20,NEA 00026-2020.,B,58,PRODUCTOS FARMACÉUTICOS,39,"HORMONAS Y ANTAGONISTAS HORM: ESTROG, PROGEST, ANTICONC.INTERN, HORM GONAD. Y ESTIM E INH OVAR OTROS",42,MÉTODOS DE BARRERA.,3,PRESERVATIVO FEMENINO,112,UNIDAD,328,SIN MARCA,100.0,2.709067,270.91
2020,PUNO,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,458,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,915,401,REGION PUNO-SALUD MELGAR,1,2,ALMACEN REMESAS,4,NEA - DONACION,45,0,0,DIRESA PUNO.,PECOSA N°: 000416-2020-DIRESA PUNO.,30-OCT-20,10,OCTUBRE,C,NEA 00026,PECOSA N°: 416,CON CONFORMIDAD,05-NOV-20,NEA 00026-2020.,05-NOV-20,NEA 00026-2020.,B,58,PRODUCTOS FARMACÉUTICOS,39,"HORMONAS Y ANTAGONISTAS HORM: ESTROG, PROGEST, ANTICONC.INTERN, HORM GONAD. Y ESTIM E INH OVAR OTROS",42,MÉTODOS DE BARRERA.,1,PRESERVATIVO SIN NONOXINOL,112,UNIDAD,1038,SIN MARCA ],1100.0,0.15,165.0
2020,PUNO,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,458,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,915,401,REGION PUNO-SALUD MELGAR,1,2,ALMACEN REMESAS,4,NEA - DONACION,46,0,0,DIRESA PUNO.,PECOSA N°: 00400-2020-DIRESA PUNO.,30-OCT-20,10,OCTUBRE,C,NEA 00025,PECOSA N° 00040,CON CONFORMIDAD,05-NOV-20,NEA 00025-2020.,05-NOV-20,NEA 00025-2020.,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,28,GUANTES PARA EXAMEN DESCARTABLES (NO QUIRÚRGICOS),145,GUANTE PARA EXAMEN DESCARTABLE DE NITRILO SIN POLVO TALLA M,112,UNIDAD,4162,HIDMED,500.0,0.29,145.0
2020,PUNO,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,458,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,915,401,REGION PUNO-SALUD MELGAR,1,2,ALMACEN REMESAS,4,NEA - DONACION,46,0,0,DIRESA PUNO.,PECOSA N°: 00400-2020-DIRESA PUNO.,30-OCT-20,10,OCTUBRE,C,NEA 00025,PECOSA N° 00040,CON CONFORMIDAD,05-NOV-20,NEA 00025-2020.,05-NOV-20,NEA 00025-2020.,B,35,PRODUCTOS QUÍMICOS INCLUYE BIO-QUÍMICOS Y GASES INDUSTR. Y REACTIVOS DE ANÁLISIS CLÍNICOS Y DIAG,38,ALCOHOLES,1,ETANOL,34,ALCOHOL ETILICO (ETANOL)  70º,349,LITRO,2448,NACIONA L,6.0,14.0,84.0
2020,PUNO,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,458,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,915,401,REGION PUNO-SALUD MELGAR,1,2,ALMACEN REMESAS,4,NEA - DONACION,46,0,0,DIRESA PUNO.,PECOSA N°: 00400-2020-DIRESA PUNO.,30-OCT-20,10,OCTUBRE,C,NEA 00025,PECOSA N° 00040,CON CONFORMIDAD,05-NOV-20,NEA 00025-2020.,05-NOV-20,NEA 00025-2020.,B,58,PRODUCTOS FARMACÉUTICOS,21,MEDICAMENTOS ANTIINFECCIOSOS: ANTIPROTOZOARIOS ANTIMALÁRICOS,7,CLOROQUINA,3,CLOROQUINA 150 mg TAB,112,UNIDAD,1038,SIN MARCA ],80.0,0.796118,63.69
2020,PUNO,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,458,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,915,401,REGION PUNO-SALUD MELGAR,1,2,ALMACEN REMESAS,4,NEA - DONACION,48,0,0,RED DE SALUD MELGAR,TRANSFERENCIA DE BIENES DEPRECIABLES Y NO DEPRECIABLES DE LA IPRESS ANTAUTA.,17-SEP-20,9,SEPTIEMBRE,C,NEA 00006,R.D. 214-2019,CON CONFORMIDAD,05-NOV-20,NEA 0006-2020.,05-NOV-20,NEA 0006-2020.,B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,812,ASPIRADORA DE SECRECIONES,1,ASPIRADORA DE SECRECIONES ELECTRICO RODABLE,112,UNIDAD,328,SIN MARCA,1.0,1344.9,1344.9
2020,PUNO,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,458,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,915,401,REGION PUNO-SALUD MELGAR,1,2,ALMACEN REMESAS,4,NEA - DONACION,48,0,0,RED DE SALUD MELGAR,TRANSFERENCIA DE BIENES DEPRECIABLES Y NO DEPRECIABLES DE LA IPRESS ANTAUTA.,17-SEP-20,9,SEPTIEMBRE,C,NEA 00006,R.D. 214-2019,CON CONFORMIDAD,05-NOV-20,NEA 0006-2020.,05-NOV-20,NEA 0006-2020.,B,60,INSTRUMENTO DE MEDICIÓN,22,EQUIPO INSTRUMENTOS DE MEDICIÓN ,856,BALANZA PEDIÁTRICA,9,BALANZA PEDIATRICA DE SOBREMESA,112,UNIDAD,4579,SECA,1.0,463.46,463.46
