ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,SAN MARTIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,459,GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,1058,401,REGION SAN MARTIN-SALUD ALTO MAYO,1,2,ALMACEN DE MEDICAMENTOS-SISMED,4,NEA - DONACION,1,0,0,OGESS-BM-U.E.400,,27-APR-20,4,ABRIL,C,0001182,0001182,CON CONFORMIDAD,27-APR-20,0001182,27-APR-20,ESTRATEGIA COVID-19,B,35,PRODUCTOS QUÍMICOS INCLUYE BIO-QUÍMICOS Y GASES INDUSTR. Y REACTIVOS DE ANÁLISIS CLÍNICOS Y DIAG,11,BIOQUÍMICA : REACTIVOS USO ESPECÍFICO Y USO GENERAL,2,BIOQUÍMICA:  REACTIVOS USO ESPECÍFICO,1209,PRUEBA RÁPIDA COVID-19 IgG/IgM,421,DETERMINACION,328,SIN MARCA,600.0,18.6381,11182.86
2020,SAN MARTIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,459,GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,1058,401,REGION SAN MARTIN-SALUD ALTO MAYO,1,2,ALMACEN DE MEDICAMENTOS-SISMED,4,NEA - DONACION,2,0,0,REGION LA LIBERTAD-SALUD,,28-OCT-20,10,OCTUBRE,C,008,048,CON CONFORMIDAD,28-OCT-20,PECOSA 048,24-FEB-20,POR DONACION,B,58,PRODUCTOS FARMACÉUTICOS,2,"MEDICAMENTOS ANALGÉSICOS, ANTIPIRÉTICOS, ANTIINFLAMATORIOS Y ANTIGOTOSOS",43,IBUPROFENO.,10,IBUPROFENO 400 mg TAB,112,UNIDAD,328,SIN MARCA,500000.0,0.044529,22264.5
2020,SAN MARTIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,459,GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,1058,401,REGION SAN MARTIN-SALUD ALTO MAYO,1,2,ALMACEN DE MEDICAMENTOS-SISMED,4,NEA - DONACION,2,0,0,REGION LA LIBERTAD-SALUD,,28-OCT-20,10,OCTUBRE,C,008,048,CON CONFORMIDAD,28-OCT-20,PECOSA 048,24-FEB-20,POR DONACION,B,58,PRODUCTOS FARMACÉUTICOS,31,MEDICAMENTOS CARDIOVASCULARES: ANTIHIPERTENSIVOS,33,ENALAPRIL.,4,ENALAPRIL MALEATO 10 mg TAB,112,UNIDAD,328,SIN MARCA,1000.0,0.027532,27.53
2020,SAN MARTIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,459,GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,1058,401,REGION SAN MARTIN-SALUD ALTO MAYO,1,2,ALMACEN DE MEDICAMENTOS-SISMED,4,NEA - DONACION,2,0,0,REGION LA LIBERTAD-SALUD,,28-OCT-20,10,OCTUBRE,C,008,048,CON CONFORMIDAD,28-OCT-20,PECOSA 048,24-FEB-20,POR DONACION,B,58,PRODUCTOS FARMACÉUTICOS,2,"MEDICAMENTOS ANALGÉSICOS, ANTIPIRÉTICOS, ANTIINFLAMATORIOS Y ANTIGOTOSOS",44,METAMIZOL,1,METAMIZOL SODICO 1 g INY 2 mL,112,UNIDAD,328,SIN MARCA,5000.0,0.219854,1099.27
2020,SAN MARTIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,459,GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,1058,401,REGION SAN MARTIN-SALUD ALTO MAYO,1,2,ALMACEN DE MEDICAMENTOS-SISMED,4,NEA - DONACION,2,0,0,REGION LA LIBERTAD-SALUD,,28-OCT-20,10,OCTUBRE,C,008,048,CON CONFORMIDAD,28-OCT-20,PECOSA 048,24-FEB-20,POR DONACION,B,58,PRODUCTOS FARMACÉUTICOS,19,MEDICAMENTOS ANTIINFECCIOSOS: ANTIPROTOZOARIOS MEDICAM CONTRA AMEBIASIS GIARDIASIS Y TRICHOMONIASIS,4,METRONIDAZOL.,2,METRONIDAZOL 500 mg TAB,112,UNIDAD,328,SIN MARCA,6000.0,0.054691,328.15
2020,SAN MARTIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,459,GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,930,400,REGION SAN MARTIN-SALUD,1,4,SISMED - AEM,4,NEA - DONACION,360,0,0,MUNICIPALIDAD PROVINCIAL DE SAN MARTIN - TARAPOTO,R.D.. 565-2020-DIRESA-OGESS-BM/DG.     ACTA DE ENTREGA,26-AUG-20,8,AGOSTO,C,360,R.D. 565,CON CONFORMIDAD,26-AUG-20,R.D. 565-2020,26-AUG-20,CONFORME,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,11,BAJALENGUAS,2,BAJALENGUA DE MADERA PEDIATRICA,112,UNIDAD,1324,S*MARCA,1500.0,0.25,375.0
2020,SAN MARTIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,459,GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,930,400,REGION SAN MARTIN-SALUD,1,4,SISMED - AEM,4,NEA - DONACION,360,0,0,MUNICIPALIDAD PROVINCIAL DE SAN MARTIN - TARAPOTO,R.D.. 565-2020-DIRESA-OGESS-BM/DG.     ACTA DE ENTREGA,26-AUG-20,8,AGOSTO,C,360,R.D. 565,CON CONFORMIDAD,26-AUG-20,R.D. 565-2020,26-AUG-20,CONFORME,B,51,"LABORATORIO Y GABINETE: IMPLEMENTOS, MATERIALES, REPUESTOS Y ACCESORIOS",20,LABORATORIO Y GABINETE: MATERIALES,18,LÁMINAS Y LAMINILLAS PARA USO EN LABORATORIO,57,LAMINA PORTA OBJETO BISELADA 26 mm X 75 mm X 50 ,112,UNIDAD,1324,S*MARCA,1500.0,8.5,12750.0
2020,SAN MARTIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,459,GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,930,400,REGION SAN MARTIN-SALUD,1,4,SISMED - AEM,4,NEA - DONACION,360,0,0,MUNICIPALIDAD PROVINCIAL DE SAN MARTIN - TARAPOTO,R.D.. 565-2020-DIRESA-OGESS-BM/DG.     ACTA DE ENTREGA,26-AUG-20,8,AGOSTO,C,360,R.D. 565,CON CONFORMIDAD,26-AUG-20,R.D. 565-2020,26-AUG-20,CONFORME,B,51,"LABORATORIO Y GABINETE: IMPLEMENTOS, MATERIALES, REPUESTOS Y ACCESORIOS",20,LABORATORIO Y GABINETE: MATERIALES,18,LÁMINAS Y LAMINILLAS PARA USO EN LABORATORIO,2,LAMINILLA CUBRE OBJETO 22 mm X 22 mm X 100 ,112,UNIDAD,1324,S*MARCA,15.0,8.0,120.0
2020,SAN MARTIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,459,GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,930,400,REGION SAN MARTIN-SALUD,1,4,SISMED - AEM,4,NEA - DONACION,360,0,0,MUNICIPALIDAD PROVINCIAL DE SAN MARTIN - TARAPOTO,R.D.. 565-2020-DIRESA-OGESS-BM/DG.     ACTA DE ENTREGA,26-AUG-20,8,AGOSTO,C,360,R.D. 565,CON CONFORMIDAD,26-AUG-20,R.D. 565-2020,26-AUG-20,CONFORME,B,35,PRODUCTOS QUÍMICOS INCLUYE BIO-QUÍMICOS Y GASES INDUSTR. Y REACTIVOS DE ANÁLISIS CLÍNICOS Y DIAG,10,QUÍMICA:  REACTIVOS USO GENERAL EN LABORATORIO Y OTROS,4,QUÍMICA:  COLORANTES / INDICADORES USO LABORATORIO,133,LUGOL X 1 L,112,UNIDAD,1324,S*MARCA,5.0,80.0,400.0
2020,SAN MARTIN,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,459,GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,930,400,REGION SAN MARTIN-SALUD,1,4,SISMED - AEM,4,NEA - DONACION,360,0,0,MUNICIPALIDAD PROVINCIAL DE SAN MARTIN - TARAPOTO,R.D.. 565-2020-DIRESA-OGESS-BM/DG.     ACTA DE ENTREGA,26-AUG-20,8,AGOSTO,C,360,R.D. 565,CON CONFORMIDAD,26-AUG-20,R.D. 565-2020,26-AUG-20,CONFORME,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,7,ALGODÓN HIDRÓFILO,5,ALGODÓN HIDRÓFILO X 500 g,112,UNIDAD,1324,S*MARCA,10.0,18.0,180.0
