ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,935,400,REGION TACNA-SALUD,5,1,ENCARGO - SISMED,4,NEA - DONACION,1,0,0,REGION TACNA-SEDE CENTRAL,SUB GERENCIA DE COOP. TECNICA INTERNACIONAL Y FUNDACION DE BIENESTAR PUBLICA DE ZALL DE HUBEI CHINA,28-SEP-20,9,SEPTIEMBRE,C,337,0725-2020,CON CONFORMIDAD,16-OCT-20,ACTA RECEPCION ENTREGA,28-SEP-20,.,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,41,MASCARILLAS  DESCARTABLES,158,MASCARILLA DESCARTABLE TIPO N-95,112,UNIDAD,328,SIN MARCA,6000.0,4.5,27000.0
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,935,400,REGION TACNA-SALUD,1,1,DIRESA,4,NEA - DONACION,1,0,0,SUNAT,,28-MAY-20,5,MAYO,C,0102,172312020-00078,CON CONFORMIDAD,29-MAY-20,ACTA SUNAT,28-MAY-20,.,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",51,INSTRUMENTAL MÉDICO QUIRURGICO,10,TERMÓMETRO DE USO MÉDICO,13,TERMOMETRO DIGITAL FRONTAL ,112,UNIDAD,4717,OTALI,131.0,350.0,45850.0
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,935,400,REGION TACNA-SALUD,1,1,DIRESA,4,NEA - DONACION,1,0,0,SUNAT,,28-MAY-20,5,MAYO,C,0102,172312020-00078,CON CONFORMIDAD,29-MAY-20,ACTA SUNAT,28-MAY-20,.,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",51,INSTRUMENTAL MÉDICO QUIRURGICO,10,TERMÓMETRO DE USO MÉDICO,22,TERMOMETRO DIGITAL ORAL RECTAL Y AXILAR,112,UNIDAD,328,SIN MARCA,55.0,55.0,3025.0
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,935,400,REGION TACNA-SALUD,1,1,DIRESA,4,NEA - DONACION,2,0,0,DROGUERIA INRETAIL PHARMA S.A.C.,DONACION DE INKAFARMA,28-AUG-20,8,AGOSTO,C,256,N° 001-0077365,CON CONFORMIDAD,02-SEP-20,GUIA DE REMISION REMITENTE N° 001-0077365,28-AUG-20,.,B,58,PRODUCTOS FARMACÉUTICOS,10,MEDICAMENTOS ANTIINFECCIOSOS ANTIBIÓTICOS:  MACROLIDOS Y LINCOSAMIDAS,8,AZITROMICINA,7,AZITROMICINA 500 mg TAB,112,UNIDAD,328,SIN MARCA,15360.0,0.926667,14233.6
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,935,400,REGION TACNA-SALUD,1,1,DIRESA,4,NEA - DONACION,2,0,0,DROGUERIA INRETAIL PHARMA S.A.C.,DONACION DE INKAFARMA,28-AUG-20,8,AGOSTO,C,256,N° 001-0077365,CON CONFORMIDAD,02-SEP-20,GUIA DE REMISION REMITENTE N° 001-0077365,28-AUG-20,.,B,58,PRODUCTOS FARMACÉUTICOS,2,"MEDICAMENTOS ANALGÉSICOS, ANTIPIRÉTICOS, ANTIINFLAMATORIOS Y ANTIGOTOSOS",46,PARACETAMOL.,11,PARACETAMOL 500 mg TAB,112,UNIDAD,328,SIN MARCA,52480.0,0.0377,1978.5
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,935,400,REGION TACNA-SALUD,1,1,DIRESA,4,NEA - DONACION,3,0,0,MORAN DISTRIBUCIONES S A,PRODUCTOS PROVENIENTES DE LA OC 1096-2020 (BONIFICACION POR COMPRA),17-DEC-20,12,DICIEMBRE,C,438,0153-2020,CON CONFORMIDAD,17-DEC-20,GRR 0037-79888,17-DEC-20,.,B,9,ALIMENTOS Y BEBIDAS PARA PERSONAS,68,PAN Y PRODUCTOS AFINES,6,PANETONES,3,PANETON 900 g,112,UNIDAD,587,DONOFRIO,36.0,0.5275,18.99
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,1622,402,GOB. REG. DE TACNA - RED DE SALUD TACNA,2,3,ENCARGOS,4,NEA - DONACION,1,0,0,JESUS ESTEBAN PILCO LASARTE/ COOPERACION TECNICA INTERNACIONAL,COOPERACION TECNICA INERNACIONAL,15-OCT-20,10,OCTUBRE,C,195,S/N,CON CONFORMIDAD,16-NOV-20,ACTA DE RECEPCION Y ENTREGA DE DONACION,15-OCT-20,.,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MÉDICO,41,MASCARILLAS  DESCARTABLES,158,MASCARILLA DESCARTABLE TIPO N-95,112,UNIDAD,2971,PROTECTIVE MAS K3,4000.0,3.0,12000.0
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,30,0,0,SOUTHERN PERU COPPER CORPORATION SUCURSA L DEL PERU,MEMORANDO N°1705-2020-DIREC.EJC-HHUT-DRS.T/GOB.REG.TACNA.,07-DEC-20,12,DICIEMBRE,C,NEA N°0029,MEMO. N°119-20,CON CONFORMIDAD,17-DEC-20,MEMO. N°1705-2020-DIREC.EJEC.-HHUT-DRS/TGOB. REG.,17-DEC-20,MEMO. N°119-2020-UL-OAJ-HHUT-DRS/TGOB. REG. TACNA.,B,49,"ACCES., REPUEST. DE EQ. MÉDICOS Y QUIRÚRG. Y SUMINIST. MÉDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",70,ACCESORIOS PARA USO MÉDICOS,8,BALONES PARA GASES MEDICINALES,18,BALÓN PARA OXÍGENO MEDICINAL 10 m3,112,UNIDAD,3873,"SIN MARCA,",15.0,3172.4,47586.0
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,22,0,0,UNIVERSIDAD NACIONAL DE SAN AGUSTIN,DONACION REALIZADA POR CITESOFT - UNSA/MEMO N°1772-2020-DIREC. EJEC.-HHUT,13-NOV-20,11,NOVIEMBRE,C,NEA N°0021,MEMO N°1772-20,CON CONFORMIDAD,19-NOV-20,MEMORANDO N°1772-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TA,13-NOV-20,"NEA N°0021, DONACIÓN REALIZADA POR LA UNIVERSIDAD NACIONAL DE SAN AGUSTIN",B,53,HOSPITALIZACIÓN,22,EQUIPO DE HOSPITALIZACIÓN ,9980,VIDEO LARINGOSCOPIO,1,VIDEO LARINGOSCOPIO,112,UNIDAD,328,SIN MARCA,2.0,2150.4,4300.8
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,23,0,0,ALTO COMISIONADO DE LAS NACIONES UNIDAS PARA LOS REFUGIADOS-ACNUR,DONACION REALIZADA POR ACNUR - MEMO. N°2072-2020-DIREC.-EJC.-HHUT-DRS.T.,01-DEC-20,12,DICIEMBRE,C,NEA N°0022,MEMO N°139-2020,CON CONFORMIDAD,15-DEC-20,MEMO.N°139-2020,01-DEC-20,DONACION REALIZADA POR ACNUR - MEMO. N°2072-2020-DIREC.-EJC.-HHUT-DRS.T.,B,13,"ASEO, LIMPIEZA Y TOCADOR  :   REPUESTOS, ACCESORIOS, ÚTILES Y MATERIALES",92,TOCADOR Y COSMETOLOGÍA: MATERIALES,10,JABONES PARA MANOS Y CUERPO,109,JABON DE TOCADOR EN BARRA X 85 g,112,UNIDAD,2951,REXONA,3000.0,1.45,4350.0
