ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,TUMBES,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,461,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,1436,402,GOB.REG.TUMBES-HOSP.REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA-JAMO II-2 TUMBES,2,0,ALMACEN ESPECIALIZADO DE MEDICAMENTOS,4,NEA - DONACION,10,0,0,DIRECCION REGIONAL DE SALUD TUMBES,C/SN°43-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,3,MARZO,C,C/S43-2020,C/SN°43-2020,CON CONFORMIDAD,31-MAR-20,C/SN43-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,MEDICINA,B,58,PRODUCTOS FARMACÉUTICOS,17,MEDICAMENTOS ANTIINFECCIOSOS - ANTITUBERCULOSOS,5,ETAMBUTOL,3,ETAMBUTOL CLORHIDRATO 400 mg TAB,112,UNIDAD,9466,N°43-2020/DIRESA TUMB,400.0,0.12,48.0
2020,TUMBES,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,461,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,1436,402,GOB.REG.TUMBES-HOSP.REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA-JAMO II-2 TUMBES,2,0,ALMACEN ESPECIALIZADO DE MEDICAMENTOS,4,NEA - DONACION,10,0,0,DIRECCION REGIONAL DE SALUD TUMBES,C/SN°43-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,3,MARZO,C,C/S43-2020,C/SN°43-2020,CON CONFORMIDAD,31-MAR-20,C/SN43-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,MEDICINA,B,58,PRODUCTOS FARMACÉUTICOS,17,MEDICAMENTOS ANTIINFECCIOSOS - ANTITUBERCULOSOS,6,ISONIAZIDA,1,ISONIAZIDA 100 mg TAB,112,UNIDAD,9466,N°43-2020/DIRESA TUMB,700.0,0.11,77.0
2020,TUMBES,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,461,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,1436,402,GOB.REG.TUMBES-HOSP.REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA-JAMO II-2 TUMBES,2,0,ALMACEN ESPECIALIZADO DE MEDICAMENTOS,4,NEA - DONACION,10,0,0,DIRECCION REGIONAL DE SALUD TUMBES,C/SN°43-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,3,MARZO,C,C/S43-2020,C/SN°43-2020,CON CONFORMIDAD,31-MAR-20,C/SN43-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,MEDICINA,B,58,PRODUCTOS FARMACÉUTICOS,17,MEDICAMENTOS ANTIINFECCIOSOS - ANTITUBERCULOSOS,7,PIRAZINAMIDA,6,PIRAZINAMIDA 500 mg TAB,112,UNIDAD,9466,N°43-2020/DIRESA TUMB,400.0,0.1,40.0
2020,TUMBES,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,461,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,1436,402,GOB.REG.TUMBES-HOSP.REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA-JAMO II-2 TUMBES,2,0,ALMACEN ESPECIALIZADO DE MEDICAMENTOS,4,NEA - DONACION,10,0,0,DIRECCION REGIONAL DE SALUD TUMBES,C/SN°43-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,3,MARZO,C,C/S43-2020,C/SN°43-2020,CON CONFORMIDAD,31-MAR-20,C/SN43-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,MEDICINA,B,58,PRODUCTOS FARMACÉUTICOS,17,MEDICAMENTOS ANTIINFECCIOSOS - ANTITUBERCULOSOS,8,RIFAMPICINA,4,RIFAMPICINA 100 mg/5 mL SUS 60 mL,112,UNIDAD,9466,N°43-2020/DIRESA TUMB,2.0,14.34,28.68
2020,TUMBES,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,461,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,1436,402,GOB.REG.TUMBES-HOSP.REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA-JAMO II-2 TUMBES,2,0,ALMACEN ESPECIALIZADO DE MEDICAMENTOS,4,NEA - DONACION,11,0,0,DIRECCION REGIONAL DE SALUD TUMBES,C/SN°37-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,3,MARZO,C,C/S37-2020,C/SN°37-2020,CON CONFORMIDAD,31-MAR-20,C/SN°37-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,MEDICINA,B,58,PRODUCTOS FARMACÉUTICOS,24,MEDICAMENTOS ANTIINFECCIOSOS: ANTIVIRALES,5,EFAVIRENZ,3,EFAVIRENZ 600 mg TAB,387,TABLETA,9467,N°37-2020/DIRESA TUMB,6000.0,0.24,1440.0
2020,TUMBES,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,461,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,1436,402,GOB.REG.TUMBES-HOSP.REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA-JAMO II-2 TUMBES,2,0,ALMACEN ESPECIALIZADO DE MEDICAMENTOS,4,NEA - DONACION,11,0,0,DIRECCION REGIONAL DE SALUD TUMBES,C/SN°37-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,3,MARZO,C,C/S37-2020,C/SN°37-2020,CON CONFORMIDAD,31-MAR-20,C/SN°37-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,MEDICINA,B,58,PRODUCTOS FARMACÉUTICOS,24,MEDICAMENTOS ANTIINFECCIOSOS: ANTIVIRALES,22,LOPINAVIR + RITONAVIR,5,LOPINAVIR + RITONAVIR 200 mg + 50 mg TAB,112,UNIDAD,9467,N°37-2020/DIRESA TUMB,5640.0,0.82,4624.8
2020,TUMBES,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,461,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,1436,402,GOB.REG.TUMBES-HOSP.REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA-JAMO II-2 TUMBES,2,0,ALMACEN ESPECIALIZADO DE MEDICAMENTOS,4,NEA - DONACION,12,0,0,DIRECCION REGIONAL DE SALUD TUMBES,C/SN°35-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,3,MARZO,C,C/S35-2020,C/SN°35-2020,CON CONFORMIDAD,03-APR-20,C/SN°35-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,MEDICNA,B,58,PRODUCTOS FARMACÉUTICOS,17,MEDICAMENTOS ANTIINFECCIOSOS - ANTITUBERCULOSOS,5,ETAMBUTOL,3,ETAMBUTOL CLORHIDRATO 400 mg TAB,112,UNIDAD,9481,N°35-2020/DIRESA TUMB,400.0,0.12,48.0
2020,TUMBES,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,461,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,1436,402,GOB.REG.TUMBES-HOSP.REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA-JAMO II-2 TUMBES,2,0,ALMACEN ESPECIALIZADO DE MEDICAMENTOS,4,NEA - DONACION,12,0,0,DIRECCION REGIONAL DE SALUD TUMBES,C/SN°35-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,3,MARZO,C,C/S35-2020,C/SN°35-2020,CON CONFORMIDAD,03-APR-20,C/SN°35-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,MEDICNA,B,58,PRODUCTOS FARMACÉUTICOS,17,MEDICAMENTOS ANTIINFECCIOSOS - ANTITUBERCULOSOS,6,ISONIAZIDA,1,ISONIAZIDA 100 mg TAB,112,UNIDAD,9481,N°35-2020/DIRESA TUMB,100.0,0.11,11.0
2020,TUMBES,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,461,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,1436,402,GOB.REG.TUMBES-HOSP.REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA-JAMO II-2 TUMBES,2,0,ALMACEN ESPECIALIZADO DE MEDICAMENTOS,4,NEA - DONACION,12,0,0,DIRECCION REGIONAL DE SALUD TUMBES,C/SN°35-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,3,MARZO,C,C/S35-2020,C/SN°35-2020,CON CONFORMIDAD,03-APR-20,C/SN°35-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,MEDICNA,B,58,PRODUCTOS FARMACÉUTICOS,17,MEDICAMENTOS ANTIINFECCIOSOS - ANTITUBERCULOSOS,7,PIRAZINAMIDA,6,PIRAZINAMIDA 500 mg TAB,112,UNIDAD,9481,N°35-2020/DIRESA TUMB,400.0,0.1,40.0
2020,TUMBES,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,461,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,1436,402,GOB.REG.TUMBES-HOSP.REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA-JAMO II-2 TUMBES,2,0,ALMACEN ESPECIALIZADO DE MEDICAMENTOS,4,NEA - DONACION,12,0,0,DIRECCION REGIONAL DE SALUD TUMBES,C/SN°35-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,3,MARZO,C,C/S35-2020,C/SN°35-2020,CON CONFORMIDAD,03-APR-20,C/SN°35-2020/DIRECCION REGIONAL DE SALUD TUMBES,19-MAR-20,MEDICNA,B,58,PRODUCTOS FARMACÉUTICOS,17,MEDICAMENTOS ANTIINFECCIOSOS - ANTITUBERCULOSOS,8,RIFAMPICINA,4,RIFAMPICINA 100 mg/5 mL SUS 60 mL,112,UNIDAD,9481,N°35-2020/DIRESA TUMB,2.0,14.34,28.68
